bg-1097
Брекзит	Брекзит	EVT	EVT-Brexit
Варадкар	Варадкар	PER	PER-Leo-Varadkar
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Ирландия	Ирландия	LOC	GPE-Ireland
Канада	Канада	LOC	GPE-Canada
Лео Варадкар	Лео Варадкар	PER	PER-Leo-Varadkar
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Норвегия	Норвегия	LOC	GPE-Norway
Ройтерс	Ройтерс	ORG	ORG-Reuters
Световния икономически форум в Давос	Световен икономически форум в Давос	ORG	ORG-WEF
Фокус	Фокус	ORG	ORG-Focus-News-Agency
