bg-1720
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕК	ЕК	ORG	ORG-European-Commission
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Маргаритис Схинас	Маргаритис Схинас	PER	PER-Margaritis-Schinas
Обединеното кралство	Обединено кралство	LOC	GPE-Great-Britain
Схинас	Схинас	PER	PER-Margaritis-Schinas
ТАСС	ТАСС	ORG	ORG-TASS-Agency
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
