bg-875
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
ЕС	ЕС	ORG	ORG-European-Union
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Лондон	Лондон	LOC	GPE-London
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Туск	Туск	PER	PER-Donald-Tusk
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
