bg-1263
Айриш таймс	Айриш таймс	PRO	PRO-Irish-Times
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Брекзит	Брекзит	EVT	EVT-Brexit
Брекзита	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Дъблин	Дъблин	LOC	GPE-Dublin
ЕС	ЕС	ORG	ORG-European-Union
Ирландия	Ирландия	LOC	GPE-Ireland
Лондон	Лондон	LOC	GPE-London
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Република Ирландия	Република Ирландия	LOC	GPE-Ireland
Ройтерс	Ройтерс	ORG	ORG-Reuters
Саймън Ковини	Саймън Ковини	PER	PER-Simon-Coveney
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
