bg-1592
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Верхофстад	Верхофстад	PER	PER-Guy-Verhofstadt
Гардиън	Гардиън	PRO	PRO-The-Guardian
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstadt
ЕС	ЕС	ORG	ORG-European-Union
Евродепутатите	евродепутати	PER	ORG-European-Parlament
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Европейският парламент	Европейски парламент	ORG	ORG-European-Parliament
Лондон	Лондон	LOC	GPE-London
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Съда на Европейския съюз	Съд на Европейския съюз	ORG	ORG-European-Court-of-Justice
евродепутати	евродепутати	PER	ORG-European-Parlament
