bg-1663
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джереми Корбин	Джереми Корбин	PER	PER-Jeremy-Corbyn
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Индия	Индия	LOC	GPE-India
Китай	Китай	LOC	GPE-China
Ковънтри	Ковънтри	LOC	GPE-Coventry
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Корбин	Корбин	PER	PER-Jeremy-Corbyn
Лейбъристката партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Ройтерс	Ройтерс	ORG	ORG-Reuters
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
