bg-261
bnr.bg	bnr.bg	PRO	PRO-bnr.bg
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Грант Торнтън	Грант Торнтън	ORG	ORG-Grant-Thornton-International
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Днес+	Днес+	ORG	ORG-DnesPlus
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Робърт Хана	Робърт Хана	PER	PER-Robert-Hannah
