bg-582
Ай Ти Ви	Ай Ти Ви	PRO	PRO-ITV
БНР	БНР	ORG	ORG-Bulgarian-National-Radio
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
ЕС	ЕС	ORG	ORG-European-Union
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Евросъюза	Евросъюз	ORG	ORG-European-Union
Елизабет Втора	Елизабет Втора	PER	PER-Queen-Elizabeth-II
Пиърс Морган	Пиърс Морган	PER	PER-Piers-Morgan
САЩ	САЩ	LOC	GPE-USA
Световния икономически форум в Давос	Световен икономически форум в Давос	ORG	ORG-WEF
Съединените щати	Съединени щати	LOC	GPE-USA
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Тръмп	Тръмп	PER	PER-Donald-Trump
Франс прес	Франс прес	ORG	ORG-France-Presse
