bg-1994
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
Европа	Европа	LOC	LOC-Europe
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Евростат	Евростат	ORG	ORG-Eurostat
Маркус Байрер	Маркус Байрер	PER	PER-Markus-Beyrer
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Пиер Московиси	Пиер Московиси	PER	PER-Pierre-Moscovici
Съединените щати	Съединени щати	LOC	GPE-USA
Филип Леви	Филип Леви	PER	PER-Philip-Levy
Франс прес	Франс прес	ORG	ORG-France-Presse
Хоризонт	Хоризонт	PRO	PRO-Horizont-Radio
еврозоната	Еврозона	LOC	LOC-Eurozone
