bg-385
Би Би Си	Би Би Си	PRO	PRO-BBC
Брекзита	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
ДПА	ДПА	ORG	ORG-DPA
ЕС	ЕС	ORG	ORG-European-Union
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
Лондон	Лондон	LOC	GPE-London
Макрон	Макрон	PER	PER-Emmanuel-Macron
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Париж	Париж	LOC	GPE-Paris
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
