Base,Count
Тереза Мэй,145
Великобритания,142
Борис Джонсон,130
Пакистан,107
Джонсон,95
Дэвид Дэвис,93
Евросоюз,91
Brexit,91
ЕС,89
Асия Биби,88
Дэвис,67
Мэй,61
Лондон,52
Британия,50
Доминик Рааб,48
Брюссель,46
Биби,43
Верховный суд,38
МИД,37
дональд трамп,35
европейская комиссия,34
Мухаммед,33
МИД Великобритании,29
Верховный суд Пакистана,28
трамп,27
Исламабад,26
британское правительство,24
Брекзит,24
сша,23
Европейский союз,22
Лахор,21
Рааб,21
Азия Биби,21
Соединенное Королевство,20
Пенджаб,20
Англия,18
Джереми Хант,17
Имран Хан,16
ес,16
Борис,16
США,15
REGNUM,15
Даунинг-стрит,15
Асия,14
европейский союз,13
Карачи,13
МИД Британии,12
Франция,12
Консервативная партия,12
Скрипали,12
Хант,12
россия,11
Facebook,11
Европейский Союз,11
Би-би-си,11
Европа,11
брексит,11
еврокомиссия,11
Захарова,11
комиссия,10
The Guardian,10
Брексит,10
правительство Великобритании,10
Коран,10
референдум,10
Северная Ирландия,10
кабинет министров,10
Кирилл,10
украина,10
Россия,10
Стив Бейкер,9
европейский парламент,9
таможенный союз,9
Техрик-э-Лабаик Пакистан,9
Мария Захарова,9
брекзит,8
Салман Тасир,8
брюссель,8
Twitter,8
белый дом,8
Reuters,8
путин,7
Елизавета II,7
хиллари клинтон,7
мишель обама,7
TLP,7
Дональд Туск,7
барак обама,7
РИА Новости,7
Туск,7
виола,7
BBC,7
Канада,7
Новичок,7
верховный суд Пакистана,7
британский МИД,6
ТАСС,6
Associated Press,6
Даунинг-Стрит,6
винсент виола,6
евросоюз,6
Пешавар,6
Д.Дэвис,6
Москва,6
Т.Мэй,6
Ирландия,6
британский кабинет министров,6
газпром,6
Испания,6
МИД России,6
Равалпинди,6
британский,6
Европейский совет,5
opal,5
ЧМ-2018,5
Чекерс,5
Техрик-э-Лабаик,5
Кремль,5
МИД РФ,5
Кабмин,5
ВТО,5
алабама,5
Мумтаз Кадри,5
Bloomberg,5
Солсбери,5
болгария,5
турция,5
европа,5
BBC News,4
The Times,4
консерваторы,4
вашингтон,4
Иисус Христос,4
франция,4
ИА REGNUM,4
Еврокомиссия,4
Схинас,4
мелания,4
Европейская комиссия,4
ирландия,4
Меллон,4
Sky News,4
Дональд Трамп,4
американцы,4
ТЛП,4
владимир путин,4
республиканская партия,4
москва,4
AP,4
Алроса,4
Панджаб,4
Хадим Ризви,4
британский парламент,4
Верховный Суд Пакистана,4
Мухаммад,4
парламент,4
Трамп,4
внешнеполитическое ведомство,4
канада,4
Эймсбери,4
андрей карлов,4
Юлия,3
Пророк,3
Верховный Суд,3
Мишель Барнье,3
нидерланды,3
ниццский договор,3
serebro,3
польша,3
таможенный союз ЕС,3
НАТО,3
Хадим Хусейн Ризви,3
Совет Европейского союза,3
Samaa TV,3
демократическая партия,3
Совет ЕС,3
мевлют мерт алтынташ,3
Рейтер,3
Пакистане,3
Сергей Скрипаль,3
Италия,3
конвенция,3
Ашик Масих,3
Дэвид Кэмерон,3
Мамнун Хусейн,3
китай,3
Маргаритис Схинас,3
совет,3
Министерство иностранных дел Великобритании,3
соединенные штаты,3
рекс тиллерсон,3
Майкл Гоув,3
ONLINE.UA,3
европейский совет,3
Норин,3
Сайфул Малук,3
Шахбаз Бхатти,3
Саиф уль-Малук,3
правительство,3
анкара,3
америка,3
референдум 2016 года,3
Сакиб Нисар,3
Д.Рааб,3
германия,3
норвегия,3
Константин Косачев,3
Пакистанский суд,3
twitter,3
Болтон,3
Техрик-э-Лабайк,3
Департамент по выходу Британии из ЕС,3
ГРУ,3
Соглашение о выходе Великобритании из Европейского Союза,3
тори,3
Хан,3
Скрипаль,3
британский Кабмин,3
Б.Джонсон,3
люксембург,3
европейский суд по правам человека,3
AFP,3
кабмин,3
бразилия,3
Лейбористская партия,3
Салман Тазир,2
министерство иностранных дел Великобритании,2
Западные Балканы,2
Доминик Раб,2
кабинет Мэй,2
партия консерваторов,2
Асия Норин,2
Борис Донсон,2
переговоры в резиденции Чекерс,2
Джон Болтон,2
CNN,2
Дж.Хант,2
ИФ,2
МИД Соединенного Королевства,2
европейский суд,2
Малук,2
повторный референдум,2
Австрия,2
клинтон,2
дублин,2
Николя Саркози,2
совет европейского союза,2
Нидерланды,2
Палата общин британского парламента,2
сирия,2
Белая книга,2
опра уинфри,2
