Base,Count
Брекзит,672
ЕС,550
Великобритания,539
Тереза Мей,325
Лондон,300
Европейски съюз,273
Обединеното кралство,244
Брюксел,211
Мей,169
Ройтерс,154
британци,142
БТА,141
Мишел Барние,139
Дейвид Дейвис,102
Европейски парламент,76
Консервативна партия,73
Ирландия,73
Европейска комисия,72
Северна Ирландия,72
Европа,72
Барние,68
Дейвис,64
Информационна агенция Фокус,61
Франс прес,56
Борис Джонсън,54
Европейски съвет,53
Филип Хамънд,50
Франция,45
Евросъюз,44
консерватори,44
Фокус,44
САЩ,43
Гардиън,41
България,39
Канада,39
Германия,38
Доналд Туск,37
Европейски съд,36
Камара на общините,35
Джонсън,34
Еманюел Макрон,33
Камара на лордовете,31
Биби,31
The Guardian,31
Жан-Клод Юнкер,30
The Independent,30
Асия Биби,29
Днес+,29
Лейбъристка партия,28
Найджъл Фараж,28
Макрон,28
Пакистан,28
Норвегия,27
ЕК,26
АФП,26
Би Би Си,25
евродепутати,24
Доналд Тръмп,24
българи,24
Берлин,24
Тони Блеър,24
ТАСС,23
Юлиян Марков,23
Париж,23
Китай,23
Световна търговска организация,23
Фараж,22
Екатерина Захариева,22
лейбъристи,22
Асошиейтед прес,21
Даунинг стрийт,21
ДПА,21
европейци,20
Brexit,20
Виктор Турмаков,20
The Daily Express,20
Холандия,20
Дъблин,19
ЕП,19
Туск,19
Съд на ЕС,18
Reuters,18
Труд,17
АП,17
Юнкер,16
Ангела Меркел,16
София,16
Испания,15
Джордж Сорос,15
Република Ирландия,15
Партия за независимост,14
Амбър Ръд,14
Хамънд,14
Исламабад,14
БиБиСи,14
БНР,14
Ги Верхофстад,14
Иван Христов,14
Втора световна война,14
Англия,13
Източна Европа,13
Най-доброто за Великобритания,13
Лео Варадкар,13
Сорос,13
Шотландия,13
Бойко Борисов,13
Джейкъб Рийс-Мог,12
Българско европредседателство,12
Варадкар,12
Меркел,12
AFP,12
Българско председателство,11
Обновление,11
Блумбърг,11
СТО,11
Джереми Корбин,11
Дейвид Камерън,11
Политико,11
Лиляна Павлова,11
Вашингтон,11
Италия,11
Блеър,11
Тръмп,11
Белфаст,11
НАТО,11
Сайфул Мулок,11
Европейска икономическа зона,10
Западни Балкани,10
Захариева,10
The Times,10
Белгия,10
Цанко Цолов,10
Закон за авторското право и сродните му права,10
Индипендънт,10
Корбин,10
Бирмингам,9
Съвет на ЕС,9
Телеграф,9
Файненшъл таймс,9
Борисов,9
БГНЕС,9
Лиъм Фокс,9
Демократична юнионистка партия,9
Страсбург,8
Иран,8
Джон Мейджър,8
Българско председателство на Съвета на ЕС,8
Швейцария,8
Ливърпул,8
Лондонско Сити,8
The Telegraph,8
Evening Standard,8
Нюкасъл,8
Politico,8
европарламент,8
Мохамед,8
Световен икономически форум в Давос,8
пакистанка,8
Мюнхен,8
Еврозона,8
Йонислав Дочев,8
Daily Express,8
Дейли телеграф,8
Върховен съд на Пакистан,7
Джеръми Корбин,7
Лио Варадкар,7
ЕНП,7
Русия,7
Съвет на Европейския съюз,7
News.bg,7
Джереми Хънт,7
Еврокомисия,7
Грег Кларк,7
bnr.bg,7
Манчестър,7
Глазгоу,7
Бристол,7
Кардиф,7
Шотландска национална партия,7
Джеймс Торанс,7
Павлова,7
UKIP,7
Люксембург,7
Никола Стърджън,7
Стърджън,7
Полша,6
Майкъл Гоув,6
Шефийлд,6
БНТ,6
Нотингам,6
Турция,6
Виена,6
Манфред Вебер,6
Best for Britain,6
Мюнхенска конференция по сигурността,6
Пиер Московиси,6
Ги Верхофстат,6
Лийдс,6
Sunday Express,6
Huffington Post,6
Доминик Грийв,6
Уеб Медия Груп,6
Япония,6
Медийна група България,6
Съвет Общи въпроси,6
тори,6
24 часа,6
Уестминстър,6
Давос,6
Web media group,6
Маргаритис Схинас,6
Европол,5
Европейска агенция за безопасността на полетите,5
Португалия,5
Тереза Герова,5
Федерика Могерини,5
Москва,5
Кале,5
Иън Дънкан Смит,5
Observer,5
Чука Умуна,5
Алеш Шмелар,5
Съд на Европейския съюз,5
Билд,5
Гърция,5
Гринуич,5
Сергей Скрипал,5
Отава,5
Съединени щати,5
Кларк,5
Флоренция,5
Северна Корея,5
Саджид Джавид,5
Ирландско море,5
Пенджаб,5
Майкъл Хезълтайн,5
румънци,5
Исландия,5
BBC,5
Сирия,5
Еърбъс,5
Хезълтайн,5
Пекин,4
Камара на представителите,4
Робинс,4
Ашик Масих,4
Cambridge Econometrics,4
Андрю Диърдън,4
Мадрид,4
Московиси,4
Европейска агенция за химикали,4
Ай Ти Ви,4
Бизнес Инсайдър,4
Европейски банков орган,4
Сън,4
Саймън Кавъни,4
Фокс,4
Смит,4
The Sunday Times,4
Елизабет Втора,4
Найджъл Фарадж,4
Уелс,4
Саймън Ковини,4
Тереза,4
Британска медицинска асоциация,4
Сингапур,4
Ги Верховстад,4
Техрик-и-лабаик,4
Индия,4
Оливър Робинс,4
Сайфул Малук,4
Дейли мейл,4
Могерини,4
Маргарет Тачър,4
Европейска агенция за лекарствата,4
Емануел Макрон,4
Южна Корея,4
Renew,4
Нов фламандски алианс,4
Анна Соубри,4
Съвет за сигурност на ООН,4
Йорданка Фандъкова,4
Гибралтар,4
британски парламент,4
Африка,4
Прити Пател,4
ДЮП,4
Украйна,4
Лихтенщайн,4
Унгария,4
Ейре,3
EURACTIV,3
Народно събрание,3
Камдън,3
Волфганг Шойбле,3
Ръд,3
The Economist,3
гибралтарци,3
ГСДП,3
Марк Рюте,3
Найджъл Додс,3
Ухан,3
Петер Люкс,3
Хан,3
северноирландци,3
Vesti.bg,3
Прес асосиейшън,3
Израел,3
Business Insider,3
Верхофстат,3
Bloomberg,3
Рийс-Мог,3
Дастис,3
Амстердам,3
Франкфурт,3
испанци,3
поляци,3
КРОСС,3
Ню Йорк,3
германци,3
Том Уилямс,3
ЮКИП,3
Европейска народна партия,3
Британо-българска бизнес организация,3
Садик Хан,3
ВВС,3
Скрипал,3
Ламанша,3
Техеран,3
Садик Кан,3
"Република, напред!",3
BuzzFeed,3
Гевин Баруел,3
Мулок,3
FAZ,3
Кавъни,3
Меншън хаус,3
Скай нюз,3
Гюнтер Йотингер,3
Андрю Адонис,3
Румъния,3
французи,3
Лейбъристка,3
Кипър,3
Кир Стармър,3
Алфонсо Дастис,3
Джъстин Трюдо,3
Таймс,3
Законопроект за Брекзит,3
Европейска агенция за сигурността на полетите,3
Веселин Паунов,3
Лисабонски договор,3
Eurofi Financial Forum,3
Билд ам зонтаг,3
Хоризонт,3
En Marche,3
Ли Къцян,3
Омуртаг Петков,3
Международен валутен фонд,3
Шин Фейн,3
Джон МакТернан,2
Орбан,2
Льо Дриан,2
Партия на труда,2
Бундестаг,2
Съвместен доклад на преговарящите,2
Гавин Уилямсън,2
Берлинска стена,2
Шотландска народна партия,2
Grassroots Coordinating Group,2
Адонис,2
Броукъншайър,2
Най-доброто за Британия,2
BuzzFeed News,2
Джулиян Смит,2
Чешка република,2
Киев,2
Карън Брадли,2
Схинас,2
Дейвид Лидингтън,2
Вишеградска четворка,2
Грузия,2
Салвини,2
ABC News,2
