Base,Count
donald trump,40
európska komisia,36
trump,36
slovensko,19
ek,15
eú,14
európska únia,13
usa,13
spojené štáty,10
brusel,9
hillary clintonová,9
biely dom,8
tasr,8
barack obama,7
európa,7
sr,6
bratislava,6
američania,5
amerika,5
ap,4
trump organization,4
trump entertainment resorts,4
greenblatt,4
nemecko,4
európsky parlament,4
robert fico,4
washington,4
new york,4
slovenská republika,4
republikáni,3
kallstadt,3
pierre moscovici,3
váhostav,3
demokrati,3
kanada,3
teraz.sk,3
republikánska strana,3
facebook,3
margrethe vestagerová,3
donald,3
čína,3
the apprentice,3
európska rada,3
londýn,3
whatsapp,3
nbc,3
palestínčania,3
ukrajina,3
touchit,2
dunajská stratégia,2
srbsko,2
crédit agricole,2
asad,2
rýn,2
tvnoviny.sk,2
shengenský informačný systém,2
británia,2
juncker,2
florida,2
eurostat,2
friedrich trump,2
ministerstvo životného prostredia sr,2
rakúsko,2
bulharsko,2
valdis dombrovskis,2
peter pellegrini,2
chorvátsko,2
úrad vlády sr,2
rbs,2
société générale,2
barclays,2
jeana-claude juncker,2
európsky súdny dvor,2
hsbc,2
rada európskej únie,2
česko,2
a. merkelová,2
manhattan,2
izrael,2
reuters,2
hillary clinton,2
spoločný konsolidovaný základ dane z príjmov právnických osôb,2
drump,2
sita,2
wisconsin,2
noviny.sk,2
maďarsko,2
24hod.sk,2
jean-claude juncker,2
ministerstvo zdravotníctva,2
peter plavčan,2
streepová,2
irak,2
new york times,2
andrej kiska,2
dombrovskis,2
common consolidated corporate tax base,2
ministerstvo školstva,2
mexiko,2
detroit,2
clintonová,2
petra masácová,2
deutsche bank,2
vestagerová,2
maroš šefčovič,2
renault,2
mnuchin,2
jpmorgan chase,2
forbes 400,2
politico,2
ccctb,2
apple,2
itapa,2
vazil hudák,1
european innovation council,1
živé.sk,1
charlottenburg,1
marcilly,1
jane fonda,1
tax police center,1
phoenix,1
spojené kráľovstvo,1
"inovačné toky - voda, vedomosti a inovácie v dunajskom regióne",1
aktuality.sk,1
noveslovo.sk,1
high level group,1
fortune,1
enpa,1
george w. bush,1
šalamúnove ostrovy,1
lászló sólymos,1
tajomstvá a proroctvá kozmu,1
daimler,1
národná rada slovenské republiky,1
holandsko,1
trump tower,1
ekvádor,1
vianoce,1
r. fico,1
dcsf,1
b. obama,1
ministerstvo vnútra sr,1
berniem sanders,1
oecd,1
fred trump,1
luxembursko,1
falcko,1
karol veľký,1
barron,1
pellegrini,1
denver,1
bavorsko,1
elisabeth,1
nashville,1
svetovou zdravotníckou organizáciou,1
európan,1
dušan chrenek,1
volkswagen,1
opoistení.sk,1
bsk,1
eic,1
shakespeare in the park,1
toronto,1
danny glover,1
nissan motor,1
sekera,1
mitch mcconnell,1
meryl streep,1
obama,1
slováci,1
christine baranski,1
moldavsko,1
konzervatívny výber,1
elaine chao,1
trump plaza,1
tim cook,1
harry belafonte,1
dánsko,1
arizona,1
deň vďakyvzdania,1
foundation for strong european regions,1
stanislava luptáková,1
donald j. trump,1
jodie evansová,1
nhl,1
monológy vagíny,1
queens,1
melania knaussová,1
ankara,1
ak47,1
marco rubio,1
martinus.sk,1
zürich,1
úrad vlády,1
cnn,1
info.sk,1
v. putin,1
nice,1
mar-a-lago,1
oscar,1
bašár asad,1
líbya,1
sýria,1
esta,1
generálne riaditeľstvo pre hospodársku súťaž európskej komisie,1
kimberlé crenshawová,1
twitter,1
broadband,1
integrovaná infraštruktúra,1
donald john trump,1
govnet,1
netanjahu,1
cestovný a informačný autorizačný systém eú,1
schengen,1
crenshawová,1
ludwigshafen,1
ted cruz,1
atlanta,1
meryl streepová,1
boris johnson,1
rumunsko,1
európske hospodárske spoločenstvo,1
porýnie-falcko,1
melánia,1
trend.sk,1
andrej danko,1
cornwall,1
francúzsko,1
trump world tower,1
fordhamská univerzita,1
trump international hotel & tower,1
benjamin netanjahu,1
etrend.sk,1
blízky východ,1
edmonton,1
stratégia eú pre dunajský región,1
miroslav lajčák,1
jorgos kyritsis,1
erc,1
európa pre občanov,1
etias,1
aberdeenshire,1
regensburg,1
beáta dupaľová ksenzsighová,1
senát,1
property & environment s. r. o.,1
swifton village,1
indiana,1
aktuálne.sk,1
líbye,1
nyc,1
anaheim,1
egejské more,1
národná agentúra pre sieťové a elektronické služby,1
čierna hora,1
alabama,1
moscovici,1
health policy institute,1
simpsonovci,1
aberdeen bay,1
bodytalks,1
šomron,1
afroameričania,1
ben carson,1
uzzno,1
pfälzerwald,1
interpolu,1
galei cahal jason greenblatt,1
financnici.cz,1
slovenská inovačná a energetická agentúra,1
rusi,1
malta,1
julian king,1
john kasich,1
