Mention,Count
європейська комісія,51
сша,29
єс,28
дональд трамп,26
європейської комісії,24
україни,23
україні,19
європейського союзу,18
трамп,17
комісія,15
комісії,12
європейський парламент,11
трампа,11
рада,11
європейська рада,10
дональда трампа,10
україною,9
україна,8
росії,8
європейським парламентом,8
франції,8
європи,8
франція,8
європейського парламенту,7
європейський союз,7
союзу,7
ради європи,7
єк,7
ради,7
європейською комісією,7
євросоюзу,7
україну,6
комісією,6
радою,6
німеччини,5
комісію,5
хілларі клінтон,5
клінтон,5
парламентом,5
європейської ради,5
республіканської партії,5
єврокомісії,5
європейським союзом,5
італія,5
європейському парламенту,5
брюссель,5
рада єс,5
романо проді,4
парламенту,4
київ,4
німеччина,4
оон,4
іспанія,4
деана,4
великобританії,4
twitter,4
європейського суду,4
італії,4
радою єс,4
брюсселі,4
парламент,3
угоди про асоціацію,3
венеціанської комісії,3
бельгії,3
європейська комісія з прав людини,3
києва,3
барак обама,3
америки,3
демократичної партії,3
конвенції,3
єврокомісія,3
венеціанська комісія,3
судом єс,3
європейського суду з прав людини,3
сполучених штатів,3
європарламенту,3
nbc,3
швеції,3
комітету міністрів,3
австрії,3
американців,3
європейському парламенті,3
великобританія,3
суд єс,3
східної європи,3
іспанії,3
радою європейського союзу,3
раді,3
єес,2
гілларі клінтон,2
німеччині,2
японія,2
китай,2
договором про європейському союзі,2
рада міністрів,2
голова,2
люксембурзі,2
хорватією,2
європу,2
західної європи,2
договір про європейський союз,2
головою,2
росія,2
співтовариств,2
договору про європейський союз,2
єдиний європейський акт,2
the new york times,2
страсбурзі,2
фінляндії,2
ніццький договір,2
амстердамським договором,2
комітету міністрів ради європи,2
європейської конвенції,2
донбасу,2
європарламент,2
комітетом міністрів ради європи,2
парламентською асамблеєю ради європи,2
європі,2
європейський інвестиційний фонд,2
володимира путіна,2
америці,2
велика британія,2
лісабонський договір,2
канада,2
китаю,2
канаду,2
німеччину,2
рф,2
нідерландів,2
жозе мануель баррозу,2
«time»,2
києві,2
європейському союзі,2
ради міністрів,2
мексика,2
мзс,2
білого дому,2
едіт крессон,2
радою європи,2
рада європи,2
ради європейського союзу,2
договором про європейський союз,2
ніццьким договором,2
лісабонського договору,2
ніццького договору,2
ap,2
путіна,2
страсбург,2
європейських співтовариств,2
христос стиліанідес,2
айова,2
тасс,2
баррозу,2
польщі,2
москві,2
раді єс,2
бельгія,2
європейський центральний банк,2
європейську комісію,2
парижі,2
радою міністрів,2
ради єс,2
нью-йорку,2
сенегалу,1
малайзія,1
дойче велле,1
держказначейства,1
конгресу,1
тарас шевченко,1
член-експерт cepej,1
південно-китайському морі,1
сінгапур,1
trump organization,1
чарльз ліндберг,1
белградської конвенції,1
o2,1
азербайджан,1
протоколу № 11 рє,1
encj,1
міжнародної організації праці,1
жозе мануеля пінту тейшейри,1
португалії,1
домбровскіс,1
туреччини,1
рахункову палату,1
ю. с. шемшученко,1
шенгенської угоди,1
європейської комісії з прав людини,1
uihj,1
єсзс,1
блоку петра порошенка,1
європейський суд,1
хорватії,1
йорданією,1
голос америки,1
європейське управління відбору персоналу,1
управління з правових питань,1
проон,1
еразмус мундус,1
петро порошенко,1
австралія,1
майка помпео,1
європейською радою,1
румунією,1
iso 26000,1
олега кришина,1
алессандро ізоні,1
міжнародний союз працівників судової системи,1
європейських законів,1
олімпійські ігри,1
aeaj,1
світова організація торгівлі,1
бранд,1
договорі,1
кнр,1
основний фонд стандартів ради європи,1
с.стівенса,1
рє,1
договором про єс,1
еразмус+,1
чилі,1
сантером,1
статутом,1
фреда трампа,1
європарламменту,1
джона мешберна,1
чернечому,1
петар маргіч,1
лючії серені россі,1
нова комісія,1
журналі європейських співтовариств,1
комітетові міністрів рє,1
південної кароліни,1
закарпаття,1
ієн боуг,1
європейська служба зовнішніх справ,1
будапешті,1
йоганнес ган,1
закону україни про інформаційні агенства,1
обама,1
закону україни про захист персональних даних,1
чорногорія,1
центр,1
cccb,1
нестеренка,1
європейська адміністративна школа,1
аудиторським судом,1
гіларі клінтон,1
сільськогосподарське тов ім. чапаєва,1
міс сша,1
trump entertainment resorts,1
нью-гемпшир,1
“капітал”,1
вк,1
спеціальному бюлетені комісії,1
variety,1
“дівчатка”,1
європейський соціально-економічний комітет,1
страсбурга,1
європейським судом,1
генеральний секретаріат,1
гаазька конференція з міжнародного приватного права,1
божедарівці,1
києву,1
баррозо,1
хельсінкського заключного акту,1
мінських домовленостей,1
тов «вільногірське скло»,1
криму,1
раду,1
цру,1
максим курячий,1
алла дубровик-рохова,1
ради міністрів єс,1
бруней,1
луїзіані,1
палати,1
coest,1
