Mention,Count
brexitu,19
EU,17
Evropské unie,11
Británie,10
Brexit,7
brexit,7
Británii,6
Theresy Mayové,5
Londýn,4
Bruselu,4
Bruselem,3
konzervativců,3
Velká Británie,3
Britové,3
horní komoře britského parlamentu,3
Severního Irska,3
Sněmovna lordů,3
Brusel,3
Britů,3
Evropě,2
Irskou republikou,2
Unie,2
Donalda Trumpa,2
Reuters,2
Brity,2
Boris Johnson,2
Farage,2
Severní Irsko,2
Spojeného království,2
Londýnem,2
Severním Irskem,2
Johnson,2
Jiří Hošek,2
UKIP,2
Německa,2
Sněmovně lordů,2
Spojené království,2
Severním Irsku,2
David Davis,2
BBC,2
Theresa Mayová,2
Evropská komise,2
Londýně,2
Cambridge Analytica,2
ČTK,2
Mayová,2
Mayové,2
Komise,2
Londýna,2
Velké Británii,1
Londonderry,1
Conservative Way Forward,1
EU27,1
Petra Macková Jurásková,1
Českého rozhlasu,1
Českém rozhlasu Plus,1
Evropské unii,1
Juncker,1
Praha,1
Johnsonovy,1
Švédsko,1
Radiožurnálu,1
Facebooku,1
Host Lucie Výborné,1
Queen's University v Belfastu,1
Parlament,1
EuroZprávy.cz,1
The Independent,1
Třinecké železárny – Moravia Steel,1
TV Nova s.r.o,1
Národního zemědělského svazu,1
České republiky,1
Radou EU,1
Sajid Javid,1
Konzervativní strany,1
Bílý dům,1
Finska,1
Hendersonová,1
Turecko,1
Batten,1
BeerExit,1
Bratislavě,1
Avast,1
referendu o vystoupení Británie z Evropské unie,1
Leviatan,1
Europarlament,1
Danuta Hübnerová,1
Theresu Mayovou,1
europarlamentu,1
Evropské komise,1
Rakouska,1
brexitem,1
Hošek,1
Alwil Software,1
Farageovi,1
The Telegraph,1
Exit,1
Americe,1
Československu,1
Facebook,1
Bukurešti,1
Cyril Svozil,1
The Associated Press,1
Trump,1
Evropského parlamentu,1
Jurásková,1
Seznam Zprávách,1
Donald Trump,1
Konzervativní cesta vpřed,1
USA,1
TOP 09,1
Rusko,1
Evropský parlament,1
Evropskou komisí,1
Farageovy,1
Macronův,1
Karen Hendersonová,1
Rumunsku,1
Petr Kotršál,1
článek 50,1
Michel Barnier,1
Evropany,1
Evropská unie,1
ČSSD,1
Velké Británie,1
lisabonské smlouvy,1
Avastu,1
Europarlamentu,1
ministerstva pro vystoupení z EU,1
ČR,1
Twitteru,1
Francie,1
Římské deklaraci,1
Irským ostrovem,1
Estera Ameszová,1
Referendum o brexitu,1
Belgie,1
Evropu,1
James Huey,1
eurozóny,1
Jiná Británie,1
Lisabonské smlouvy,1
Alwilu,1
Fenix Trading,1
Francii,1
labouristů,1
britského parlamentu,1
Česku,1
Švédska,1
Guardian,1
Rumunska,1
Severnímu Irsku,1
Kaiserové,1
labouristé,1
Donaldu Trumpovi,1
Barnier,1
Španělsku,1
zákonu o odchodu z Evropské unie,1
Dánska,1
Rady Evropské unie,1
Kotršál,1
City,1
Alexander Tomský,1
Britští lordi,1
VisitDerry,1
Buzzfeed,1
Bulharska,1
Evropského fondu pro regionální rozvoj,1
Norsko,1
Financial Times,1
Davida Camerona,1
Terramet,1
Evropskou komisi,1
Avast Software,1
Ameszová,1
Irskem,1
Colin Harvey,1
Macronova,1
Sněmovny lordů,1
Evropa,1
Irska,1
Irsky,1
Europoslanci,1
Nigela Farage,1
Michael Gove,1
AP,1
Evropy,1
Svozil,1
Horní komora britského parlamentu,1
Čínou,1
STAN,1
Cambridge Analytiku,1
Nizozemska,1
France 2,1
Kirsten Mehrovou,1
Evropského sociálního fondu,1
východní Evropy,1
Unii,1
Lesothem,1
ANO,1
Česko,1
Německu,1
Kerr,1
europoslanci,1
Evropanů,1
Východoevropanů,1
Itálii,1
Nasdaq,1
Macron,1
Británií,1
Strukturální a investiční fondy EU,1
Kaiserová,1
