Mention,Count
" ""Северного потока""",1
 Andrzejem Dudą,1
 BSPC,1
 Danii,1
 IAG,1
 Nord Stream 2,1
 OBOZREVATEL,1
 Reuters,1
 UOKiK,1
 Uniper SE,1
 Асия Биби,1
 Балтийского моря,1
 Биби,2
 Блю Стрим Пайплайн Компани,1
 Блю Стрим Пайплайн Компани Б.В.,1
 Бориса Джонсона,2
 Вашингтона,1
 Великобритании,1
 Газпром ,1
 Газпрома ,1
 Генассамблее ООН,1
 Голубой поток,2
 Държавния департамент,1
 Дэвид Дэвис,1
 Евросоюзом,1
 Керченский пролив,1
 МИД ,2
 МИДа,1
 Министерство иностранных дел Великобритании,1
 Мэй,1
 Народный фронт,1
 Норд Стрим-2,1
 Окружного суда города Амстердама,1
 Помпейо,1
 Сайфул Малук,1
 Северный поток-2,1
 Скрипалей,1
 Стокгольмского арбитража,1
 Транспорт и околна среда,1
 Федерального ведомства по судоходству и гидрографии Германии,1
 Хосе Луис Родригес Сапатеро,1
 Хофбург ,1
 Християнсоциалния съюз,1
 Южной Кореи,1
 Юрий Витренко,1
 сила трех ,1
 холандския парламент,1
#ColosseoRosso,1
#EURONEST,1
#NS2,1
's-Hertogenbosch,1
101-й воздушно-десантной дивизии,1
24 godziny,2
24 Часа,1
24 часа,8
24chasa.bg,1
24hod.sk,2
24tv.ua,1
27,4
27-та Международна газова конференция,1
3-го энергопакета,1
500+,1
5c- budimpešta-beli manastir-osijek-sarajevo-ploče,1
60 minutes,1
60 минут,1
737 Max,1
737 Max 200,1
@tokfm_news,1
A Haber,1
A. Merkel,1
A. Merkelové,1
A2/AD,1
A320neo,1
A380,1
A400M,1
A4E,3
ABC,2
ABC News,2
ABI,1
ACS,1
ADS,2
AEO,1
AESA,1
AFCO,3
AFK Sistěma,2
AFP,46
AG Recruitment and Management,1
AGCM,1
AIQ,1
ALEX BRANDON,1
ANO,6
ANPAC,3
ANPAV,1
ANSA,1
AO Телекомпания НТВ,1
AOI,1
AP,25
AP PHOTO,1
ARD,2
ATC,3
Aasi Bibi,1
Aasia Bibi,1
Aasiya Noreen Bibi,1
Aasiya Noreenové,1
Aasię Bibi,1
Adam Bielan,1
Adam Dąbrowski,1
Adam Tomkins,1
Adamowi Dąbrowskiemu,1
Ader,1
Adif,1
Adrees Latif,1
Adrian Pingstone,1
Adriana Kubickiego,1
Adriatického moře,1
Aer Lingus,2
Aer lingus,2
Aeroflot,6
AfD,1
Afganistanem,1
Afganistanie,2
Africe,1
Afryce,6
Afryki,2
Agence Eleonor,1
Agencja Reutera,1
Agencję Informacyjną Polska Press ,1
Aggregate IQ,1
AggregateIQ,1
Agnieszka Szelągowska,1
Agrze,1
Ahuthanandana,1
Air Azur,1
Air Baltic,2
Air Berlin,1
Air Europa,2
Air France,9
Air France KLM,1
Air France − KLM,1
Air France-KLM,4
Air Lingus,1
Air Serbia,2
AirCashBack,1
AirHelp,1
Airbus,6
Airbus Group,1
Airbusa,2
Airbusu,3
Airbusy 320,1
Airline For Europe,1
Airlines for Europe,1
Akfel,1
Alabama,1
Alain Vanalderweireldt,1
Alan Duncan,1
Alantra Partners,2
Albion,2
Aleksander Nowak,2
Aleksandr Kogan,1
Aleksandr Miedwiediew,1
Aleksandra Kogana,1
Aleksandra Miedwiediewa,2
Aleksandrem Nowakiem,2
Aleksiej,1
Aleksiej Kokin,1
Aleksiej Miller,4
Aleksieja Millera,3
Aleksiejem Millerem,1
Alena Schillerová,2
Alessandro Monteduro,1
Alex Barker,2
Alex Begg and Co.,1
Alexander Nix,2
Alexander Novak,2
Alexander Tomský,1
Alexandr Fek,1
Alexandr Novak,1
Alexandra Nixa,1
Alexandrem Kudrinem,1
Alexandrem Novakem,2
Alexei Millera,1
Alexej Miller,1
Alexej Puškov,1
Alexeje Millera,1
Alexey_Pushkov,1
Algierii,1
Alicante,7
Alina,1
Alina Stanová,1
Alitalia,6
Allah,1
Allahu,1
Allseas,9
Allseas Group S. A.,1
Allseas Group S.A.,1
Alláh,1
Alternatywy dla Niemiec,1
Altinget.dk,1
Altmaier,3
Alwil Software,1
Alwilu,1
Alžběta II.,1
Alžběty II,2
Alžběty II.,2
Alžírskem,1
Amazon ,1
Ambasada,1
Ambasada Republiki Litewskiej w Polsce,1
Amber Rudd,1
Amber Ruddová,2
Amber Ruddové,1
American Airlines,1
American International Group,1
Americe,3
Americká tisková agentura,1
Americké ministerstvo zahraničí,1
Amerika,1
Amerikou,1
Ameriky,2
Američané,5
Ameryce,1
Ameryce Północnej,1
Amerykanie,13
Amerykanin,2
Ameryki,3
Ameryką,1
Ameszová,3
Amjad,1
Ammánu,1
Amnesty International,1
Amsterdam,4
Amsterdamie,4
Amsterdamu,2
Anca Gurzu,1
Andrej Babi,1
Andrej Babiš,7
Andrej Babiše,1
Andrej Danko,1
Andrej Kiska,2
Andrej Kolesnikov,1
Andrejem Babišem,1
Andrew Lobbenderg,1
Andrew Lobbenderg ,1
Andriej Gurkow,1
Andriej Kobolew,1
Andrij Kobolew,3
Andrzej Duda,6
Andrzej Grzyb,1
Andrzej Olechowski,2
Andrzej Sikora,1
Andrzeja Dudy,4
Andrzeja Dudę,2
Andrzeja Grzyba,1
Andrzejem Dudou,1
Andrzejem Dudą,1
Andy Wigmore,1
Angela Merkel,12
Angela Merkelová,21
Angele Merkelové,3
Angeli Merkel,10
Angelou Merkelovou,7
Angely Merkelová,1
Angely Merkelové,5
Angelą Merkel,10
Angelę Merkel,1
Anglia,2
Anglicy,1
Anglie,6
Anglii,6
Anglikom,1
Angličané,2
Angličanů,1
Angoulême,1
Angus Woods,1
Ania,1
Ankary,1
Ankarze,1
Ankaře,2
Anne Hidalgová,1
Annika Einchorn,1
Anpac,1
Anpav,1
Ansa,2
Antoniemu Liberze,1
Antonio Barroso,1
Antonio Escobar,2
Antonio Fallico,2
Antonio Tajani,2
Aną Paulą Zacarias,1
Apple,3
Apple ,1
Arab News,1
Arabii Saudyjskiej,1
Arkadiji Rotenbergovi,1
Armenii,1
Arménii,2
Arron Banks,1
Arrona Bankse,1
Arshad Arbab,1
Artur Kiełbasiński,1
Ashiq Masih,6
Asi,1
Asi Bibi,11
Asia,3
Asia Bibi,28
Asia Bibiovou,1
Asia Bibiová,25
Asia Bibiové,1
Asia News,1
Asia Noreen,4
Asia Noreenová,2
Asie,4
Asie Bibi,1
Asii,2
Asii Bibi,20
Asii Bibi.,1
Asii Bibiovou,7
Asii Bibiové,15
Asiin,1
Asiu Bibiovou,4
Asię,1
Asię Bibi,13
Asociace nezávislých dodavatelů energií,1
Associated Press,14
Aston Martin,2
Astra,1
Aszik Masih,1
Aten,1
Ateny,1
Atlantic Council,1
Atlantické radě,1
Atlantik,1
Atlantiku,1
Audacia,1
Audicia,1
Aurigny Air Service,5
Australia,3
Australii,1
Austria,5
Austriacy,2
Austriak,1
Austrian Airlines,2
Austrii,6
Austrią,1
Austrię,1
Austrálie,2
Avast,1
Avast Software,1
Avastu,1
Aviapartner,4
Aviapartners,1
Axel Springer,1
Ayr,1
Azerbejdżanie,1
Azji,2
Ašik Masíh,2
BAE Systems,1
BALPA,4
BASF,7
BASF -Wintershall,1
BASF SE,1
BASF Wintershall,1
BASF-Wintershall,19
BASF/Wintershall,4
BASFn.DE,1
BBC,49
BBC News,7
BBC Radio 4,2
BDI,5
BMG,2
BMW,4
BRUSEL,2
BSH,8
BSH ,1
BSPC,1
BT,1
BUSINESSEUROPE,1
BZ WBK,1
Babajewo,1
Babiš,4
Babišem,1
Bad Boys of Brexit,1
Bajczuk,1
Bajkal,1
Baker McKenzie,1
Baku,1
Balfour Beatty,1
Balic,2
Balicach,1
Balkán,1
Baltem,2
Baltic Pipe,9
Baltického moře,4
Baltské moře,16
Baltské státy,1
Baltského moře,39
Baltském moři,6
Baltskému moři,1
Baltským mořem,6
Baltu,5
Banco Mare Nostrum,2
Bangalore,1
Bank Anglii,1
Bank of America,3
Bank of England,2
Bank of Ireland,1
Bankier.pl,1
Bankię,2
Banks,1
Bankse,2
Banksem,1
Banksovi,1
Banksových,1
Banku Zachodniego WBK,1
Bannon,1
Baracka Obamy,3
Barber,1
Barcelona,5
Barcelona Girona,1
Barcelonie,2
Barcelony,2
Barceloną,1
Barnier,20
Barniera,5
Barnierem,1
Barnierovi,1
Barrasso,1
Barry,1
Bartosz,1
Bartłomiej Sawicki,2
Basti Lashari,1
Batten,2
Battena,1
Bawarii,1
Baára Asada,1
Bałkanami,1
Bałtyk,5
Bałtykiem,1
Bałtyku,24
BeCA,2
BeLeave,1
Beauvais,1
BeerExit,1
Belfast Telegraph,1
Belfastu,1
Belfaście,1
Belga,1
Belgami,1
Belgia,5
Belgian Cockpit Association,2
Belgie,15
Belgii,121
Belgium,1
Belgií,9
Belgię,3
Belgowie,4
Belka,1
Belki,1
Benedykt XVI,8
Beneluxu,1
Benátek,1
Bergamt Stralsund,1
Bergeracu,1
Berkeley Research Group LLC,1
Berlin,14
Berlina,8
Berlinem,1
Berlinie,24
Berlinowi,3
Berlín,19
Berlína,5
Berlínu,1
Berlíně,11
Berlíně ,1
Bernarda O'Connora,1
Bernert,1
Bernie,2
Best for Britain,9
Beyer,1
Biała księga,1
Białorusi,1
Białorusią,1
Białoruś,2
Biały Dom,1
Bibi,26
Bibiovou,17
Bibiová,29
Bibiové,30
Biedronkę,1
Bielan,1
Bild,9
Bild am Sonntag,1
Billund,1
Billundu,1
Birkenstock,2
Bitrus,1
Bitwę pod Wiedniem,1
Biura ds. Zasobów Energii Departamentu Stanu USA,1
Biuro Prasowe Stolicy Apostolskiej,1
Biuro Prasowe brytyjskiego Departamentu Handlu Międzynarodowego,1
