Mention,Count
Брекзит,558
ЕС,550
Великобритания,534
Тереза Мей,315
Лондон,300
Обединеното кралство,239
Европейския съюз,219
Брюксел,211
Мей,162
Ройтерс,149
БТА,141
Мишел Барние,139
Дейвид Дейвис,102
британците,96
Ирландия,73
Европа,72
Европейската комисия,72
Северна Ирландия,72
Брекзита,68
Барние,68
Дейвис,64
Европейския парламент,63
"Информационна агенция ""Фокус""",58
Франс прес,56
Борис Джонсън,54
Филип Хамънд,50
Консервативната партия,50
Фокус,43
Европейския съвет,43
САЩ,43
Франция,42
Гардиън,41
България,39
Европейският съюз,39
британци,38
Германия,38
Канада,38
Евросъюза,38
Джонсън,34
Еманюел Макрон,33
Доналд Туск,32
Камарата на общините,32
Европейския съд,31
The Guardian,30
Жан-Клод Юнкер,29
Днес+,29
Макрон,28
Камарата на лордовете,28
Найджъл Фараж,28
The Independent,28
Норвегия,27
АФП,26
ЕК,26
Би Би Си,25
Асия Биби,25
консерваторите,25
Тони Блеър,24
Доналд Тръмп,24
Берлин,24
ТАСС,23
Световната търговска организация,23
Юлиян Марков,23
Париж,23
Китай,23
Пакистан,23
Фараж,22
Биби,22
Екатерина Захариева,22
ДПА,21
Асошиейтед прес,21
Виктор Турмаков,20
The Daily Express,20
Консервативна партия,20
Brexit,20
Лейбъристката партия,20
Дъблин,19
Даунинг стрийт,19
ЕП,19
Туск,19
Reuters,18
консерватори,17
Съда на ЕС,17
АП,17
Юнкер,16
София,16
ТРУД,16
Ангела Меркел,16
Холандия,16
Испания,15
Република Ирландия,15
Джордж Сорос,15
лейбъристите,15
Амбър Ръд,14
БНР,14
брекзит,14
Хамънд,14
Иван Христов,14
Ги Верхофстад,14
Втората световна война,14
БиБиСи,14
Партията за независимост,13
Източна Европа,13
европейците,13
Сорос,13
Англия,13
Бойко Борисов,13
Шотландия,13
Европейски съюз,12
българите,12
Джейкъб Рийс-Мог,12
Европейският парламент,12
Меркел,12
Варадкар,12
Брекзитът,12
Лео Варадкар,12
AFP,12
Най-доброто за Великобритания,12
Сайфул Мулок,11
Италия,11
Политико,11
Тръмп,11
Джереми Корбин,11
Блеър,11
Обновление,11
Белфаст,11
НАТО,11
Дейвид Камерън,11
Лиляна Павлова,11
СТО,11
Блумбърг,11
Вашингтон,11
Белгия,10
българи,10
евродепутатите,10
Западните Балкани,10
The Times,10
Корбин,10
Европейската икономическа зона,10
Закона за авторското право и сродните му права,10
Захариева,10
Индипендънт,10
Брезкит,10
Цанко Цолов,10
Борисов,9
Бирмингам,9
Тереза Май,9
Исламабад,9
Телеграф,9
БГНЕС,9
Лиъм Фокс,9
българското европредседателство,9
Файненшъл таймс,9
Мюнхен,8
The Telegraph,8
Ливърпул,8
евродепутати,8
Иран,8
Джон Мейджър,8
Швейцария,8
брекзита,8
Politico,8
Нюкасъл,8
Световния икономически форум в Давос,8
Дейли телеграф,8
Йонислав Дочев,8
еврозоната,8
Evening Standard,8
Страсбург,8
Британците,8
Европейският съвет,8
Българското председателство на Съвета на ЕС,8
Джеръми Корбин,7
ЕНП,7
Джеймс Торанс,7
Мохамед,7
Глазгоу,7
Грег Кларк,7
bnr.bg,7
News.bg,7
Кардиф,7
Биби ,7
Джереми Хънт,7
Люксембург,7
Европарламента,7
Никола Стърджън,7
Май,7
Daily Express,7
Манчестър,7
Съвета на ЕС,7
Павлова,7
Русия,7
Стърджън,7
Лио Варадкар,7
Бристол,7
БНТ,6
Ги Верхофстат,6
Съвета на Европейския съюз,6
Уеб Медия Груп,6
Япония,6
Полша,6
Евродепутатите,6
Лийдс,6
Давос,6
европейци,6
Huffington Post,6
българското председателство,6
лондонското Сити,6
Нотингам,6
WEB MEDIA GROUP,6
Манфред Вебер,6
Уестминстър,6
Майкъл Гоув,6
Виена,6
Шефийлд,6
24 часа,6
Демократичната юнионистка партия,6
Маргаритис Схинас,6
Върховният съд на Пакистан,6
UKIP,6
Best for Britain,6
Доминик Грийв,6
Медийна група България,6
Мюнхенската конференция по сигурността,6
Турция,6
Пиер Московиси,6
Москва,5
Европейският съд,5
Ирландско море,5
Майкъл Хезълтайн,5
Чука Умуна,5
Иън Дънкан Смит,5
Пакистан ,5
BBC,5
Сирия,5
Кларк,5
Саджид Джавид,5
Алеш Шмелар,5
Федерика Могерини,5
пакистанката ,5
Билд,5
Съединените щати,5
Съда на Европейския съюз,5
Хезълтайн,5
Еърбъс,5
Кале,5
Северна Корея,5
Португалия,5
Българското председателство,5
Гърция,5
Sunday Express,5
Исландия,5
Сергей Скрипал,5
Европол,5
Тереза Герова,5
Гринуич,5
Обединеното Кралство,5
Флоренция,5
Исламабад ,5
Observer,5
лейбъристи,4
британския парламент,4
Шотландската национална партия,4
Робинс,4
Мадрид,4
Маргарет Тачър,4
Техрик-и-лабаик,4
Ай Ти Ви,4
румънци,4
Фокс,4
Британската медицинска асоциация,4
Андрю Диърден,4
Тереза,4
Могерини,4
Емануел Макрон,4
Елизабет Втора,4
Камарата на представителите,4
Смит,4
Азия Биби,4
Бизнес Инсайдър,4
Прити Пател,4
торите,4
Сън,4
The Sunday Times,4
Южна Корея,4
Найджъл Фарадж,4
Саймън Ковини,4
Лейбъристка партия,4
Renew,4
Нов фламандски алианс,4
Сингапур,4
Анна Соубри,4
Пенджаб,4
Ги Верховстад,4
лейбъристката партия,4
Саймън Кавъни,4
Уелс,4
Оливър Робинс,4
Холандия ,4
Дейли мейл,4
Еврокомисията,4
Cambridge Econometrics,4
Африка,4
Унгария,4
