Mention,Count
Брекзит,19
ЕС,18
Великобритания,12
Европа,10
България,8
Европейския съюз,7
Западните Балкани,6
Бойко Борисов,5
Европейския парламент,5
Българското председателство на Съвета на ЕС,4
Лиляна Павлова,4
Жан-Клод Юнкер,4
Брекзита,4
Българското председателство,4
Тереза Мей,4
Съвета на Европейския съюз,3
Шенген,3
София,3
българите,3
Балканите,3
Съвета на ЕС,3
ЕК,3
Борисов,3
Румъния,3
Истанбул,2
САЩ,2
Анкара,2
Тръмп,2
Доналд Тръмп,2
Варна,2
Павлова,2
Ройтерс,2
Наджъл Фараж,2
Тони Блеър,2
Закона за авторското право и сродните му права,2
Турция,2
Полша,2
Европейският съюз,2
Световния икономически форум в Давос,2
Брюксел,2
Българското председателство на ЕС,2
Юнкер,2
Европейската комисия,2
Страсбург,2
Българското председателство на Съвета на Европейския съюз,2
Дъблинските регламенти,1
ОЛАФ,1
Дейвид Дейвис,1
Ирландия,1
“Хоризонт“,1
ГЕРБ,1
ЕНП,1
Джери Адамс,1
Иран,1
Европейският парламент,1
Лисабон,1
Европейската служба за борба с измамите,1
Би Би Си Радио 4,1
ПанЕвропа,1
Антонио Таяни,1
Робърт Мълър,1
Сирия,1
Хилари Клинтън,1
Боровец,1
Хюриет,1
Българското председателство на Съвета на ЕС 2018,1
Франс Тимерманс,1
Майкъл Улф,1
Маргаритис Схинас,1
Лондон,1
“Шин Фейн“,1
Русе,1
Файненшъл таймс,1
Brexit,1
Берлин,1
Велико Търново,1
Улф,1
Кохезионната политика,1
Франция,1
БТА,1
Кремъл,1
Сорос,1
Андрей Бабиш,1
Нова тв,1
Чехия,1
Лоазо,1
Мей,1
Ангела Меркел,1
Джонсън,1
Естония,1
Република Турция,1
еврозоната,1
ITV,1
ТАСС,1
Партията за независимост на Обединеното кралство,1
Народния театър „Иван Вазов“ в София,1
българското председателство ,1
Мери Лу Макдоналд,1
Зелената партия,1
Бабиш,1
Ева Майдел,1
Европарламента,1
Вазов,1
Реджеп Тайип Ердоган,1
Право и справедливост,1
Дъблинския регламент,1
Дейвис,1
Белия дом,1
Пиърс Морган,1
Огън и ярост: в Белия дом на Тръмп,1
НДК,1
БНР,1
Асошиейтед прес,1
Атина,1
Измир,1
британците,1
Многогодишна финансова рамка,1
DW,1
Игра на тронове,1
руснаци,1
Европейския съвет,1
Борис Джонсън,1
Лио Варадкар,1
Мишел Барние,1
Франс Прес,1
Дмитрий Песков,1
Анна Соубри,1
Сомалия,1
Захари Бахаров,1
Филип Хамънд,1
АйТиВи,1
Изток,1
Кристин Рево Бонфоа,1
Агенция за интернет изследвания,1
Доналд Туск,1
Матю Уайтинг,1
Кристин Бонфоа,1
Шенгенското пространство,1
Св. Стефан в Истанбул,1
ЮКИП,1
МВР,1
ПиС,1
Запад,1
Спартак,1
Дончев,1
Туск,1
Reuters,1
Посолството на Франция в България,1
Международното европейско движение,1
шенгенското пространство,1
Козлодуй,1
Гърция,1
Комисията по регионална политика на Европейския парламент,1
Джордж Сорос,1
Пловдив,1
Натали Лоазо,1
Афганистан,1
Грант Торнтън,1
Българското европредседателство,1
Елизабет Втора,1
Блеър,1
Меркел,1
руснаците,1
Томислав Дончев,1
Димитровград,1
Дейли телеграф,1
БРЕКЗИТ,1
Лео Варадкар,1
източноевропейците,1
Каралайн Лукас,1
Ердоган,1
Русия,1
Варадкар,1
Бургас,1
Консервативна партия,1
Хърватия,1
Института за глобални промени,1
Робърт Пестън,1
Обединеното кралство,1
Европейското движение,1
Комисията по правата на човека,1
Кристин Рево д’Алон Бонфоа,1
Санкт Петербург,1
ЕП,1
поляк,1
Хелзинки,1
университета в Бирмингам,1
Франс прес,1
Барние,1
Ирак,1
Австрия,1
Бонфоа,1
Най-доброто за Великобритания,1
Калифорния,1
Съединените щати,1
