Base,Count
brexit,27
Británie,17
EU,17
Evropská unie,13
Londýn,10
Brusel,10
Britové,8
Severní Irsko,7
Brexit,7
Theresa Mayová,7
Sněmovna lordů,6
Evropa,5
Velká Británie,5
Evropská komise,5
Spojené království,4
Mayová,4
Donald Trump,4
Farage,4
Serverní Irsko,3
Johnson,3
Macron,3
Cambridge Analytica,3
Německo,3
Unie,3
horní komora britského parlamentu,3
konzervativci,3
Komise,2
Jiří Hošek,2
Česko,2
Francie,2
Irská republika,2
Irsko,2
Rumunsko,2
Avast,2
Europarlament,2
Facebook,2
Evropský parlament,2
Kaiserová,2
Boris Johnson,2
BBC,2
Švédsko,2
labouristé,2
UKIP,2
Reuters,2
ČTK,2
David Davis,2
Karen Hendersonová,1
Dánsko,1
Fenix Trading,1
Colin Harvey,1
Československo,1
ANO,1
článek 50,1
Nizozemsko,1
zákon o odchodu z Evropské unie,1
Nigel Farage,1
Čína,1
Europoslanci,1
Irska,1
Česká republika,1
Ameszová,1
Petr Kotršál,1
The Telegraph,1
Conservative Way Forward,1
Evropané,1
Amerika,1
Rakousko,1
The Associated Press,1
Římská deklarace,1
Terramet,1
BeerExit,1
Batten,1
Kerr,1
Strukturální a investiční fondy EU,1
Turecko,1
Rada Evropské unie,1
STAN,1
Nasdaq,1
James Huey,1
Hendersonová,1
Exit,1
France 2,1
AP,1
Buzzfeed,1
Radiožurnál,1
Evropský sociální fond,1
Michel Barnier,1
Bulharsko,1
Španělsko,1
Bílý dům,1
Jurásková,1
Konzervativní strana,1
EuroZprávy.cz,1
Avast Software,1
Praha,1
Michael Gove,1
Norsko,1
Český rozhlas,1
Svozil,1
Britští lordi,1
Bratislava,1
Alexander Tomský,1
Horní komora britského parlamentu,1
City,1
Kotršál,1
ministerstvo pro vystoupení z EU,1
TV Nova s.r.o,1
Bukurešť,1
TOP 09,1
EU27,1
Třinecké železárny – Moravia Steel,1
Danuta Hübnerová,1
VisitDerry,1
Český rozhlas Plus,1
Itálie,1
Juncker,1
Leviatan,1
Barnier,1
Twitter,1
východní Evropa,1
Host Lucie Výborné,1
Evropani,1
europarlament,1
Guardian,1
Irský ostrov,1
Kirsten Mehrová,1
eurozóna,1
europoslanci,1
Seznam Zprávy,1
Finsko,1
Theresa Mayovoá,1
Parlament,1
The Independent,1
Alwil,1
Rusko,1
Konzervativní cesta vpřed,1
Financial Times,1
Referendum o brexitu,1
Trump,1
Východoevropané,1
Lisabonská smlouva,1
Alwil Software,1
Lesotho,1
Cyril Svozil,1
britský parlament,1
Sajid Javid,1
Hošek,1
ČR,1
referendum o vystoupení Británie z Evropské unie,1
Petra Macková Jurásková,1
David Cameron,1
Národní zemědělský svaz,1
Evropský fond pro regionální rozvoj,1
Jiná Británie,1
lisabonská smlouva,1
Londonderry,1
Ester Ameszová,1
Rada EU,1
USA,1
ČSSD,1
Queen's University v Belfastu,1
Belgie,1
