Base,Count
європейська комісія,87
україна,65
європейський союз,42
комісія,38
дональд трамп,38
європейський парламент,36
сша,29
рада,28
трамп,26
єс,21
європейська рада,20
франція,16
німеччина,14
парламент,14
рада єс,13
європа,12
рада європи,12
брюссель,11
італія,10
росія,10
договір про європейський союз,9
суд єс,8
єврокомісія,8
рада міністрів,8
союз,8
венеціанська комісія,8
європейський суд,7
євросоюз,7
великобританія,7
києв,7
клінтон,6
спільнота,6
комітет міністрів ради європи,6
європарламент,6
іспанія,6
ніццький договір,6
республіканська партія,6
єк,5
сполучені штати,5
голова,5
америка,5
бельгія,5
хілларі клінтон,5
страсбург,5
комітет міністрів,5
рада європейського союзу,5
хорватія,4
деана,4
барак обама,4
європейська комісія з прав людини,4
китай,4
twitter,4
канада,4
лісабонський договір,4
романо проді,4
конвенція,4
путін,4
австрія,4
київ,3
парламентська асамблея ради європи,3
польща,3
велика британія,3
комітет,3
нью-йорк,3
мексика,3
нью-гемпшир,3
nbc,3
трампа,3
демократична партія,3
східна європа,3
азербайджан,3
люксембург,3
угода про асоціацію,3
оон,3
європейський суд з прав людини,3
швеція,3
франс тіммерманс,3
американці,3
президент комісії,2
лєна данем,2
європейська спільнота,2
христос стиліанідес,2
coest,2
нестеренко,2
айова,2
білорусь,2
закарпаття,2
народний фронт,2
обама,2
держказначейство,2
ap,2
петро порошенко,2
едіт крессон,2
єдиний європейський акт,2
європейська спільнота з вугілля та сталі,2
рада європейского союзу,2
амстердамський договір,2
рахункова палата,2
президент,2
солотвинський солерудник,2
європейські співтовариства,2
європейська економічна спільнота,2
нідерланди,2
вищий орган,2
донбас,2
європейська конвенція,2
європейська конвенція про захист прав і основних свобод людини,2
фінляндія,2
«time»,2
суд,2
міністерство економічного планування,2
програма розвитку оон,2
крим,2
західна європа,2
чехія,2
єес,2
центр,2
гілларі клінтон,2
тасс,2
співтовариство,2
росії,2
європейська служба зовнішніх справ,2
член-експерт cepej,2
світова організація торгівлі,2
суд європейського союзу,2
південна кароліна,2
будапешт,2
париж,2
європейський інвестиційний фонд,2
мзс,2
рф,2
жозе мануель баррозу,2
білий дім,2
володимир путін,2
the new york times,2
москва,2
європейська правда,2
сантер,2
мережа пілотних судів,2
баррозу,2
республіка,2
прага,2
європейський центральний банк,2
чорногорія,2
японія,2
римський договір,2
назк,2
курячий,2
туреччина,2
дніпро,2
олена зеркаль,2
португалія,2
комітет міністрів рє,2
куряча надія іванівна,1
агентство із захисту навколишнього середовища сша,1
деніел ларісон,1
євгеній мендусь,1
кнр,1
рада міністрів єс,1
мережа,1
міс сша,1
кабінет,1
державна казначейська служба україни,1
інститут політологічних студій,1
бек беннет,1
бюро парламенту,1
тов «вільногірський завод плоского скла»,1
олександр вілкула,1
валдіс домбровскіс,1
вадим нестеренко,1
жан сантер,1
ф. тіммерманс,1
комiсiя європейських співтовариств,1
конгрес,1
європейський суд аудиторів,1
фред трамп,1
хельсінкі,1
російська федерація,1
віргінські острова,1
джон мешберн,1
міноборони,1
майк помпео,1
йорданія,1
європейські закони,1
сенегал,1
договір,1
дімітріс аврамопулос,1
українського народу,1
нова пошта,1
нова зеландія,1
t-mobile cz,1
"книгарня ""є""",1
європейська комісія за демократію через право,1
сільськогосподарське тов «дружба-­казначеївка»,1
мадрид,1
google,1
транс-тихоокеанське партнерство,1
вірменія,1
європи,1
південно-китайське море,1
пенсильванія,1
моне,1
в. путін,1
угодою про асоціацію,1
марокко,1
аудиторський суд,1
the apprentice,1
міністерство оборони,1
святий престол,1
атлантика,1
євратомом,1
інтерфакс-україна,1
марґарітіс шінас,1
комітети,1
лучано гаудіо,1
республіка молдови,1
антоніо віторіно,1
преса україни,1
eaj,1
єсвс,1
яворов,1
aba-roli,1
президент ради,1
грузія,1
об’єднані арабські емірати,1
польський уряд,1
trump organization,1
сергій сливинський,1
катерина жданова,1
medel,1
держдепартамент,1
варшава,1
європейська конвенція про права і основні свободи людини,1
сільвестр сталлоне,1
комісія європейського економічного співтовариства,1
концепція підготовки суддів та прокурорів з питань кіберзлочинності,1
журнал віче,1
верховна рада україни,1
європейська політика сусідства,1
єспл,1
вільний молодіжний портал,1
емма гельєр,1
європейська асоціація суддів,1
учень,1
європ. конвенція про захист прав і осн. свобод людини,1
х. ван дер брук,1
аляска,1
сандро гоці,1
олімпіада,1
reuters,1
європейська комісія з питань ефективності правосуддя ради європи,1
euam ukraine,1
шенгенська угода,1
львівська область,1
олександр дубінін,1
дональд джон трамп,1
чернече,1
центральна азія,1
opal,1
new york times,1
politico.com,1
європейський коледж,1
павло клімкін,1
д. таршис,1
новий розділ,1
регламент № 4064/89,1
георг става,1
палата представників,1
рада закордонних справ,1
кабмін,1
сенат сша,1
вупі голдберг,1
генеральний директорат з прав людини та правових питань,1
домбровскіс,1
договори,1
нбсе,1
катя ленцинг,1
алек болдуін,1
верховний суд,1
лісабонська мережа,1
european commission of human rights,1
штати,1
основний закон україни,1
уїнстон черчілль,1
“дівчатка”,1
ніккі хейлі,1
«чорне на білому»,1
єовс,1
п. клімкін,1
голова комісії,1
регламент № 17/62 про повноваження комісії,1
резолюція,1
парламентська асамблея,1
ігор соркін,1
змі,1
iso 9001:2008,1
закон україни про захист персональних даних,1
палати,1
тов «апк укроагро»,1
сандро ґоці,1
арнольд шварцнеггер,1
управління офіційних публікацій європейських співтовариств,1
донецьк,1
статут cepej,1
work and travel,1
міжнародна організація праці,1
j-1,1
майкл шрейер,1
євростат,1
ват «газпром»,1
глобальний договір оон,1
майк тайсон,1
андрій гальченко,1
дональда трампа,1
маастрихтський договір,1
володимир чубірко,1
тед круз,1
кацер-бучковська,1
лісабонського договір,1
eur,1
джон кейсік,1
валентин дідич,1
жозе мануеля пінту тейшейра,1
європейське відомство з боротьбі з фінансовими махінаціями,1
cepej,1
меморандум про взаєморозуміння,1
дніпропетровщина,1
резолюція  90(6) км рє про часткову угоду,1
швейцарія,1
iso,1
внутрішній регламент,1
хейлі,1
белградська конвенція,1
блок петра порошенка,1
договір про заснування європейського співтовариства,1
ejtn,1
комісія європейського союзу,1
"європейська мережа органів, відповідальних за підготовку суддівських кадрів",1
чилі,1
університет лече,1
європейська мережа рад судової системи,1
