Mention,Count
evropska komisija,28
donald trump,25
trump,18
eu,17
zda,15
evropske komisije,14
donalda trumpa,11
trumpa,11
evropske unije,10
hillary clinton,9
evropsko komisijo,7
slovenija,6
komisija,6
sta,6
evropski komisiji,5
sloveniji,5
donald,5
evropski parlament,5
trumpovi,5
trumpu,5
trumpovo,4
angela merkel,4
trumpova,4
amerike,4
clintonovo,4
evropskemu parlamentu,4
slovenijo,4
adolf hitler,4
komisije,4
nbc,4
time,4
svetu eu,4
evropi,4
ameriko,3
bruslju,3
mehiko,3
ljubljana,3
new york,3
hillary,3
unije,3
združenih držav amerike,3
baracka obamo,3
facebook,3
nelson mandela,3
clintonove,3
trumpove,3
hrvaški,3
elizabeta ii.,3
dpa,3
nemčija,3
european commission,3
avstrija,3
dnevnik,3
evropski uniji,2
svet eu,2
slovenije,2
evropski svet,2
evropskega parlamenta,2
isis,2
billa clintona,2
donaldom trumpom,2
"ministrstvo za izobraževanje, znanost in šport",2
juncker,2
belo hišo,2
katedre skupnega evropskega prostora,2
vladimir putin,2
era chairs,2
nancy gibbs,2
recep tayyip erdogan,2
ljubljani,2
sodiščem eu,2
twitter,2
republike slovenije,2
američani,2
ohia,2
eurobarometer,2
bruselj,2
jean-claude juncker,2
američanov,2
berec,2
francija,2
večer,2
bbc,2
italije,2
donaldu,2
kitajske,2
evropo,2
komisijo,2
mika penca,2
ministrstvo za zunanje zadeve,2
amerika,2
beyonce,2
italija,2
grčije,2
forbes,2
facebooku,2
razdeljenih držav amerike,2
afp,2
clintonova,2
evropsko unijo,2
svetu evropske unije,1
paulom ryanom,1
maybach 62,1
transparency international,1
pence,1
eurasylum,1
sodišča,1
new jersyju,1
st. louisu,1
steve house,1
monte dei paschi di siena,1
zakonca clinton,1
poslovnika vlade rs,1
latviji,1
barrona,1
oprah,1
michigan,1
obamova,1
hitlerjem,1
stegne,1
transparency international slovenija,1
frančišek,1
ti slovenia,1
ekoper,1
španije,1
nica,1
hitlerjev,1
ivano trump,1
joe boe,1
lokalno.si,1
clintonovi,1
oklahome,1
breitbart,1
fox,1
nici,1
mercedes,1
ardittis,1
franciji,1
ryan,1
cadillac escalade,1
wall street journal,1
ivana briclja,1
instrument za predpristopno pomoč,1
maria serrano,1
billom,1
totkomlos,1
reuters,1
lisjak,1
grčija,1
porsche 911,1
marlo maples,1
eok,1
