Base,Count
Брекзит,24
ЕС,18
Великобритания,12
Европа,10
Европейски съюз,9
България,8
Западни Балкани,6
Европейски парламент,6
Българско председателство на Съвета на ЕС,5
Бойко Борисов,5
Жан-Клод Юнкер,4
Лиляна Павлова,4
Българско председателство,4
Тереза Мей,4
ЕК,3
Съвет на Европейския съюз,3
София,3
Шенген,3
българи,3
Борисов,3
Съвет на ЕС,3
Балкани,3
Румъния,3
руснаци,2
Тони Блеър,2
Истанбул,2
Доналд Тръмп,2
Анкара,2
Варна,2
Павлова,2
Световен икономически форум в Давос,2
Наджъл Фараж,2
Българско председателство на Съвета на Европейския съюз,2
Ройтерс,2
САЩ,2
Тръмп,2
Турция,2
Страсбург,2
Юнкер,2
Брюксел,2
Франс прес,2
Полша,2
Закон за авторското право и сродните му права,2
Европейска комисия,2
Берлин,1
Робърт Мълър,1
Файненшъл таймс,1
Огън и ярост: в Белия дом на Тръмп,1
Русе,1
Матю Уайтинг,1
Лондон,1
Майкъл Улф,1
Измир,1
източноевропейци,1
Ева Майдел,1
Боровец,1
Кристин Рево д’Алон Бонфоа,1
Русия,1
Лисабон,1
Вазов,1
Реджеп Тайип Ердоган,1
Ирландия,1
Посолство на Франция в България,1
Право и справедливост,1
Най-доброто за Великобритания,1
ОЛАФ,1
Джери Адамс,1
ЕНП,1
Комисия по правата на човека,1
Многогодишна финансова рамка,1
Естония,1
Република Турция,1
Бабиш,1
НДК,1
ГЕРБ,1
Дейвид Дейвис,1
Би Би Си Радио 4,1
Кремъл,1
Сирия,1
Бял дом,1
Хюриет,1
Шин Фейн,1
Маргаритис Схинас,1
Brexit,1
Европейско движение,1
Европарламент,1
Народен театър „Иван Вазов“ в София,1
ТАСС,1
Шенгенско пространство,1
ITV,1
Лоазо,1
Чехия,1
Велико Търново,1
Нова тв,1
Андрей Бабиш,1
Сорос,1
Университет в Бирмингам,1
Консервативна партия,1
Дъблински регламент,1
Международно европейско движение,1
Улф,1
ПанЕвропа,1
Изток,1
Франция,1
Ердоган,1
Дейвис,1
Джонсън,1
Робърт Пестън,1
Асошиейтед прес,1
Дъблински регламенти,1
Атина,1
Европейска служба за борба с измамите,1
Съединените щати,1
ПиС,1
Българско председателство на Съвета на ЕС 2018,1
Комисия по регионална политика на Европейския парламент,1
БТА,1
Игра на тронове,1
Блеър,1
Лио Варадкар,1
Мишел Барние,1
Дмитрий Песков,1
Анна Соубри,1
Сомалия,1
Козлодуй,1
БНР,1
Партия за независимост на Обединеното кралство,1
Гърция,1
Филип Хамънд,1
Агенция за интернет изследвания,1
Кристин Бонфоа,1
Ангела Меркел,1
Св. Стефан в Истанбул,1
ЮКИП,1
Мей,1
МВР,1
Франс Тимерманс,1
Запад,1
Спартак,1
Дончев,1
Кристин Рево Бонфоа,1
Reuters,1
Захари Бахаров,1
Доналд Туск,1
Българско европредседателство,1
АйТиВи,1
българско председателство,1
Антонио Таяни,1
Борис Джонсън,1
Варадкар,1
Пловдив,1
Натали Лоазо,1
Афганистан,1
Грант Торнтън,1
Лео Варадкар,1
Елизабет Втора,1
Хоризонт,1
Меркел,1
Джордж Сорос,1
Институт за глобални промени,1
Димитровград,1
DW,1
Мери Лу Макдоналд,1
Туск,1
Каралайн Лукас,1
Кохезионна политика,1
Хилари Клинтън,1
Зелена партия,1
Томислав Дончев,1
Еврозона,1
Бургас,1
Иран,1
Обединеното кралство,1
поляк,1
британци,1
Пиърс Морган,1
Европейски съвет,1
Санкт Петербург,1
ЕП,1
Хърватия,1
Барние,1
Ирак,1
Българско председателство на ЕС,1
Австрия,1
Бонфоа,1
шенгенско пространство,1
Калифорния,1
Хелзинки,1
Дейли телеграф,1
