Mention,Count
Борис Джонсон,8
Великобритании,7
ЕС,7
Brexit,7
Дэвид Дэвис,6
Джонсона,6
Тереза Мэй,6
Мэй,6
Бориса Джонсона,6
Евросоюза,6
Джонсон,5
The Guardian,3
Бориса,3
УНН,2
Соединенного Королевства,2
Евросоюзом,2
Терезы Мэй,2
брекзита,2
Консервативной партии,2
Стив Бейкер,2
Британии,2
МИД Соединенного Королевства,2
Лондоне,2
британском парламенте,1
Себастьян Курц,1
Терезу,1
Европейскому,1
Брюсселем,1
брекзиту,1
МИД Великобритании,1
Альбиона,1
Европа,1
Дэвисом,1
Западных Балкан,1
Великобританией,1
Лондон,1
Брекзит,1
Мария Захарова,1
Лондону,1
Дэвис,1
Захарова,1
Мишелю Барнье,1
Борисом Джонсоном,1
Брюссель,1
брексит,1
Брюсселе,1
Т. Мэй,1
Подробности.ua,1
Еврокомиссия,1
брекзит,1
Брюсселя,1
Рейтер,1
Тереза Мей,1
Северную Ирландию,1
Польши,1
Европе,1
Германии,1
Лондона,1
КИЕВ,1
МИД России,1
Палате общин,1
МИД Британии,1
Facebook,1
ТАСС,1
британскому парламентам,1
Associated Press,1
Британия,1
МИД,1
Захаровой,1
Международного валютного фонда,1
тори,1
Брюсселю,1
Джонсоном,1
Ла-Манша,1
Европы,1
Терезу Мэй,1
Европой,1
Альбионе,1
Даунинг-Стрит,1
лейбористы,1
