clID,Count
PER-Boris-Johnson,30
PER-Theresa-May,18
ORG-European-Union,15
GPE-Great-Britain,15
EVT-Brexit,13
PER-David-Davis,8
ORG-Foreign-Office,5
GPE-Brussles,5
GPE-London,5
LOC-Europe,4
PRO-The-Guardian,3
PER-Maria-Zaharova,3
ORG-Conservative-and-Unionist-Party-UK,3
PER-Steve-Baker,2
ORG-UNN,2
ORG-British-Parlament,2
LOC-Balkans,1
ORG-The-Associated-Press,1
ORG-House-of-Commons,1
GPE-Northern-Ireland,1
PRO-Podrobnosti,1
GPE-Germany,1
ORG-Labour-Party-UK,1
ORG-European-Commission,1
ORG-Ministry-of-Foreign-Affairs-Russia,1
GPE-Poland,1
LOC-English-Channel,1
ORG-European-Parlament,1
PRO-Facebook,1
LOC-Downing-Street,1
ORG-Reuters,1
PER-Michel-Barnier,1
GPE-Kiev,1
ORG-TASS,1
ORG-International-Monetary-Fund,1
PER-Sebastian-Kurz,1
