Mention,Count
európska komisia,25
donald trump,24
trump,17
ek,15
eú,14
usa,13
donalda trumpa,10
európskej únie,9
európskej komisie,8
tasr,8
slovensku,8
slovenska,6
brusel,6
sr,6
slovensko,5
spojených štátov,5
trump entertainment resorts,4
ap,4
trump organization,4
spojené štáty,4
washington,4
donaldovi trumpovi,4
trumpa,3
bratislava,3
republikánov,3
nbc,3
hillary clintonovú,3
bielom dome,3
európy,3
baracka obamu,3
bratislave,3
demokratov,3
republikánsku stranu,3
bieleho domu,3
slovenskej republiky,3
európe,3
pierre moscovici,3
teraz.sk,3
európskou komisiou,3
jean-claude juncker,3
the apprentice,3
tvnoviny.sk,2
trumpov,2
common consolidated corporate tax base,2
hillary clintonovou,2
američanov,2
slovenská republika,2
detroit,2
európsky súdny dvor,2
európskou radou,2
európska únia,2
touchit,2
jpmorgan chase,2
margrethe vestagerová,2
deutsche bank,2
kanada,2
wisconsin,2
noviny.sk,2
spoločný konsolidovaný základ dane z príjmov právnických osôb,2
demokratickej strany,2
valdis dombrovskis,2
čína,2
trumpove,2
barclays,2
hsbc,2
američania,2
renault,2
ameriky,2
new yorku,2
manhattane,2
hillary clinton,2
forbes 400,2
európsky parlament,2
biely dom,2
dombrovskis,2
trumpovho,2
new york,2
robert fico,2
politico,2
schengenského informačného systému,2
trumpova,2
barack obama,2
24hod.sk,2
česko,2
rbs,2
ccctb,2
new york times,2
société générale,2
ministerstvo školstva,2
juncker,2
reuters,2
rakúsko,2
itapa,2
nemecko,2
sita,2
donald,2
crédit agricole,2
meryl streepová,1
charlottenburg,1
mac,1
navid b.,1
aktuality.sk,1
peter plavčan,1
stevena mnuchina,1
dcsf,1
orlanda,1
cornwall,1
barrona,1
floridu,1
oscara,1
vianoce,1
čierna hora,1
trump international hotel & tower,1
tumpovi,1
južnej ameriky,1
trump tower,1
b. obama,1
pensylvánskej univerzite,1
dunajskej stratégie,1
holandska,1
tajomstvá a proroctvá kozmu,1
asad,1
"inovačné toky - voda, vedomosti a inovácie v dunajskom regióne",1
netanjahua,1
bsk,1
palestínčanom,1
steve jobs,1
konzervatívny výber,1
izraelčanov,1
ameriku,1
chorvátska,1
davida camerona,1
facebooku,1
ministerstvom životného prostredia sr,1
helmut kohl,1
európskym parlamentom,1
svetovou zdravotníckou organizáciou,1
úradu vlády sr,1
európan,1
ľubľani,1
radou európskej únie,1
volkswagen,1
sevnici,1
obamova,1
pacifiku,1
opoistení.sk,1
greenblattov,1
greenblatta,1
trumpovej,1
eic,1
jeana-claudea junckera,1
