Mention,Count
Великобритании,99
ЕС,88
Brexit,87
Дэвид Дэвис,66
Бориса Джонсона,63
Борис Джонсон,60
Мэй,58
Тереза Мэй,58
Евросоюза,57
Пакистане,51
Терезы Мэй,50
Пакистана,46
Биби,43
Джонсона,42
Асии Биби,40
Британии,37
Джонсон,36
Доминик Рааб,32
Дэвис,31
МИД Великобритании,29
МИД,27
Асия Биби,26
Дэвиса,25
Мухаммеда,25
Дэвида Дэвиса,25
дональд трамп,25
Лондона,24
сша,23
европейская комиссия,23
Верховный суд Пакистана,22
Евросоюзом,22
Асию Биби,22
Терезой Мэй,21
Верховного суда,19
Брюсселем,18
Великобритания,18
ес,16
Бориса,16
Рааб,16
США,15
REGNUM,15
Доминика Рааба,15
Даунинг-стрит,15
Европейского союза,15
Англии,15
британского правительства,14
трамп,14
Верховный суд,14
трампа,13
Карачи,13
Исламабаде,13
Пенджаб,13
МИД Британии,12
Джереми Хант,12
Пакистан,12
Соединенного Королевства,12
Консервативной партии,12
Лахоре,12
Facebook,11
Великобританией,11
Би-би-си,11
Брекзита,11
Дэвисом,11
The Guardian,10
Имран Хан,10
Брюсселю,10
Кирилл,10
Терезе Мэй,9
Джонсоном,9
Британия,9
Лондон,9
Стив Бейкер,9
европейского союза,9
Техрик-э-Лабаик Пакистан,9
Лондоне,8
Reuters,8
Азии Биби,8
Франции,8
Лондоном,8
Мария Захарова,8
Салман Тасир,8
Скрипалей,8
Захарова,8
Новичок,7
РИА Новости,7
Великобритании ,7
референдума,7
британском правительстве,7
Брюсселя,7
дональда трампа,7
хиллари клинтон,7
европейской комиссии,7
Европейского Союза,7
Twitter,7
TLP,6
Туск,6
ТАСС,6
еврокомиссия,6
МИД России,6
Соединенное Королевство,6
Брекзиту,6
Брюсселе,6
Имрана Хана,6
Елизавета II,6
Associated Press,6
России,6
брексита,6
Асию,6
Мухаммеде,6
BBC,6
Равалпинди,6
Скрипали,6
правительство Великобритании,6
Северной Ирландией,6
таможенного союза,6
Даунинг-Стрит,6
Азию Биби,6
Азия Биби,6
Пенджаба,6
Т.Мэй,6
Дональд Туск,6
Д.Дэвис,6
Лахор,6
opal,5
Солсбери,5
Брекзит,5
виола,5
Хант,5
Bloomberg,5
Мумтаз Кадри,5
Кремля,5
россии,5
кабинете министров,5
белый дом,5
ВТО,5
МИД РФ,5
Евросоюз,5
Исламабад,5
МИД ,5
Верховным судом Пакистана,5
Техрик-э-Лабаик,5
Асия,5
Терезу Мэй,5
ЧМ-2018,5
брекзита,5
Испания,5
Рааба,5
Франция,5
комиссия,5
Европейского совета,5
Пешаваре,4
комиссии,4
республиканской партии,4
кабинета министров,4
верховный суд Пакистана,4
Европейская комиссия,4
Эймсбери,4
Джереми Ханта,4
турции,4
Исламабада,4
Иисуса Христа,4
AP,4
Ирландией,4
еврокомиссии,4
ТЛП,4
Хадим Ризви,4
The Times,4
Чекерс,4
брюсселе,4
Sky News,4
Ханта,4
Великобританию,4
Брексита,4
британское правительство,4
барак обама,4
внешнеполитического ведомства,4
Верховным судом,4
Корана,4
винсента виолу,4
BBC News,4
Брюссель,4
правительства Великобритании,4
ИА REGNUM,4
британского МИД,4
винсент виола,3
европе,3
Борисом Джонсоном,3
консерваторов,3
кабмина,3
таможенный союз,3
Северной Ирландии,3
Шахбаз Бхатти,3
