Base,Count
trump,51
europska komisija,46
hrvatska,33
donald trump,33
sad,28
komisija,23
eu,21
europska unija,13
amerika,10
amerikanci,9
twitter,7
kina,7
obama,7
parlament,7
nigel farage,7
vlada,6
new york,6
unija,6
clinton,6
bosna i hercegovina,5
bijela kuća,5
vijeće,5
bruxelles,5
facebook,5
ek,5
hillary clinton,5
apple,5
hdz,5
domovinski rat,4
whatsapp,4
washington,4
putin,4
izborni kolegij,4
hillary,4
forbes,4
farage,4
europski parlament,4
njemačka,4
ina,4
velika britanija,4
europa,4
isis,3
meksiko,3
ukip,3
barack obama,3
jadran,3
škotska,3
eric,3
nizozemska,3
virginia,3
peking,3
tajvan,3
španjolska,3
glazjev,3
indijanci,3
bih,3
luksemburg,3
hrvati,3
amy schumer,3
sud eu-a,3
austrija,3
brexit,3
berlin,3
florida,3
havaji,3
sjedinjene države,3
schumer,3
playboy,3
sjedinjene američke države,3
hollywood,2
jugoslavija,2
kanye west,2
belgija,2
teksas,2
rusija,2
republika hrvatska,2
melanija knavs,2
švicarska,2
bernie,2
ugovor o funkcioniranju eu-a,2
cleveland,2
eurocontrol,2
zdravko marić,2
vladimir putin,2
željko kerum,2
juncker,2
ivo šlaus,2
lisabonski ugovor,2
sava,2
trump tower,2
mađarska,2
ronald reagan,2
cef,2
microsoft,2
reuters,2
cemex,2
jutarnji list,2
john lackland,2
george washington,2
donald mlađi,2
plenković,2
češka,2
pelješki most,2
zlatna malina,2
split,2
hrvatske ceste,2
uk,2
jean-claude juncker,2
bridge anne d'avignon,2
božić,2
republikanska stranka,2
zagreb,2
plantagenet,2
donald,2
zakon o privatizaciji ina-e,2
opća uprava,2
ujedinjeno kraljevstvo,2
slovačka,2
mostar,2
turska,2
ddc,2
ivanka,2
frans timmermans,2
west,2
kongres,2
ivana zelničkova,2
finska,2
dapl,1
informacijski centar europe direct zadar,1
high level advisory body,1
marin tironi,1
informacijski centar europe direct - šibenik,1
guardian,1
kinez,1
zapad,1
indiana,1
škotska nacionalna stranka,1
katherine swynford,1
kaine,1
horace greeley,1
ministarstvo regionalnog razvoja,1
dobroslavić,1
agencija za zaštitu osobnih podatak,1
ivan gaunt,1
joan beaufort,1
the new york times,1
nikola dobroslavić,1
marla maples,1
latvija,1
sveučilište trump,1
uk independence party,1
cemex hrvatska,1
kalifornija,1
bliski istok,1
marlborough,1
heather locklear,1
ddr,1
ted cruz,1
independent party,1
andy wigmore,1
atlatnik,1
vojislav šešelj,1
grad mostar,1
kremlj,1
steven schooner,1
tpp,1
bloomberg,1
zoran milanović,1
trump votka,1
peta avenija,1
siniša vuco,1
srbi,1
zemlja,1
new scientist,1
dalmacija,1
davor lučić,1
u dnevnom ritmu,1
republikanski,1
new hampshire,1
westmorland,1
dora koretić,1
charlottesville,1
mike pence,1
ministarstvo regionalnoga razvoja i fondova europske unije,1
kenija,1
xi jinping,1
visoka škola međunarodnih odnosa i diplomacije dag hammarskjöld,1
izborni zakon bih,1
mississippi,1
europsko vijeće,1
grčka,1
charleston,1
otvorena znanost,1
jaspers,1
video centerfold,1
romina kraus,1
cea,1
late night conana o'briena,1
cher,1
međunarodna mreža za financijsko obrazovanje,1
pripravnik,1
ugovor iz amsterdama,1
direktiva o uslugama,1
šešelj,1
europska investicijska banka,1
angela merkel,1
amazon,1
youtube,1
berlusconi,1
kgb,1
frederick,1
slovenija,1
cim,1
merkel,1
sud eu,1
statut grada mostara,1
zastupnički dom,1
dg,1
věra jourová,1
khan,1
doland trump,1
"ministarstvo pomorstva, prometa i infrastrukture",1
europska konvencija o ljudskim pravima,1
conecting europe facility,1
globus,1
ustavni sud bih,1
vijeće ministara,1
joe biden,1
rise,1
honolulu,1
pelješac,1
jakica njire,1
vermont,1
nafta,1
jamestown,1
novi zeland,1
šelješ,1
instrument,1
gates,1
paddy ashdown,1
tomislav tolušić,1
republikanac,1
ttip,1
ccctb,1
"research, innovation and science policy experts",1
otvoreno prema svijetu,1
aleksić,1
hlab,1
čehinja,1
večernji list,1
sud europskih zajednica,1
pravna služba,1
mac pro,1
branstad,1
heidelbergcement,1
jonathan wheeler,1
poslovni dnevnik,1
bill gates,1
cnn,1
eu parlamenta,1
monterey,1
sloboda kretanja kapitala,1
oleg butković,1
