Mention,Count
Wielkiej Brytanii,75
UE,73
brexitu,56
Unii Europejskiej,56
Wielka Brytania,47
Brexit,43
Brexitu,37
Unii,35
brexit,33
brexicie,30
Pakistanie,26
donald trump,26
Asia Bibi,25
Londynie,24
Wielką Brytanią,24
Brukseli,24
Bibi,23
Londyn,23
komisja europejska,23
Europie,22
Brexicie,20
trumpa,19
Brytyjczycy,18
Polsce,18
Wspólnoty,18
Europy,18
Polski,18
Irlandią,17
Polska,17
usa,17
Asii Bibi,16
Rady Europejskiej,15
Brukselą,15
trump,15
ke,15
Sąd Najwyższy,15
ue,14
Pakistanu,14
Mahometowi,14
Londynu,14
Brytyjczyków,14
Mahometa,13
Pakistan,13
Irlandią Północną,13
Wyspach,13
komisji,13
Asię Bibi,13
komisji europejskiej,13
Brexitem,13
Komisji Europejskiej,13
Irlandii,12
Unia,12
Polaków,12
brexitem,12
PAP,12
Unią,12
KE,12
donalda trumpa,11
Unią Europejską,11
Bruksela,11
Donald Tusk,11
Twitterze,11
Asi Bibi,11
Theresy May,11
USA,11
Komisja Europejska,10
Niemiec,10
Franciszek,10
hillary clinton,10
Irlandii Północnej,10
Tusk,10
brukseli,10
Wielką Brytanię,10
Theresa May,9
Davida Davisa,9
Barnier,9
Michel Barnier,9
Guardian,9
Unię Europejską,9
Partii Konserwatywnej,9
Holandii,9
komisja,9
Polacy,9
Zjednoczonego Królestwa,9
David Davis,8
Europejczyków,8
Parlamentu Europejskiego,8
Reuters,8
Francji,8
polski,8
Szkocji,8
Francja,8
Benedykt XVI,8
Londynem,8
WTO,7
Unia Europejska,7
Parlament Europejski,7
polska,7
republikanów,7
TLP,7
Zjednoczone Królestwo,7
Niemcy,7
Wyspy,7
unii europejskiej,7
Wspólnotę,7
ameryki,6
polsce,6
Irlandią Płn.,6
Izbie Gmin,6
MSZ,6
Times,6
amerykanów,6
AFP,6
Dover,6
May,6
Cambridge Analytica,6
waszyngtonu,6
pap,6
Mahomet,6
TVN,6
Discovery,6
Paryżu,5
chin,5
Davis,5
stanów zjednoczonych,5
DUP,5
