Mention,Count
UE,14
Wielkiej Brytanii,14
brexitu,10
Wielka Brytania,9
Unii Europejskiej,8
brexit,6
Londynie,6
Brexit,6
Brexitu,6
Londyn,5
Unii,4
brexicie,4
Wielką Brytanią,4
Wyspach,4
Brexicie,4
Brukseli,3
Polaków,3
Brukselą,3
WTO,3
Irlandią,3
Unią Europejską,3
Niemcy,3
Donald Tusk,2
Londynu,2
Brexitem,2
Komisja Europejska,2
Francji,2
Bloomberg,2
Anglii,2
Zjednoczone Królestwo,2
Wielką Brytanię,2
Irlandią Płn.,2
Wspólnoty,2
Michel Barnier,2
Rady Europejskiej,2
Polski,2
Theresę May,2
Brytyjczyków,2
Brytyjczycy,2
brexitem,2
Trybunału Sprawiedliwości UE,2
Światowej Organizacji Handlu,2
Europie,2
Theresy May,1
Q-Park,1
Partii PRacy,1
Jessica Gladstone,1
Wielkie Księstwo,1
ING Luxembourg,1
Europą,1
Stanami Zjednoczonymi,1
Irlandii,1
Unię,1
Amsterdam,1
Frankfurcie nad Menem,1
Partia Pracy,1
Tusk,1
Niemiec,1
Airbusa,1
Zrzeszenia Międzynarodowych Przewoźników Drogowych,1
Rosję,1
ministerstwa ds. Brexitu,1
W. Brytanią,1
Gerard Batten,1
BDI,1
Bułgarów,1
The Independent,1
Paryżu,1
Związku Niemieckiego Przemysłu,1
Saksońskiego Urzędu Pracy,1
Polki,1
DW,1
David Davis,1
YouGov,1
Luksemburga,1
Ukrainy,1
KKR Co.,1
Goldman Sachs,1
Nigel Lawson,1
Rumunów,1
Borbet,1
Stałego Przedstawicielstwa przy UE Krajowej Federacji Przewoźników,1
Farage'owi,1
Amsterdamie,1
Marion Seifert,1
Scripps Networks Interactive,1
Best for Britain,1
Banco Mare Nostrum,1
Saksonii,1
Katarzyny Kieli,1
Discovery Communications,1
Farage,1
Wittchenau,1
Komisję Europejską,1
TVN-u,1
Twitterze,1
Dreźnie,1
Grenville Richards,1
Polacy,1
Sunday Timesa,1
Chuka Ummuna,1
ADS,1
Alantra Partners,1
Lawson,1
Scripps Networks,1
Europejskiego Trybunału Sprawiedliwości,1
The Sunday Times,1
Timesa,1
Izby Lordów,1
The Times,1
Maja-Moebel,1
Birkenstock,1
Marek Tarczyński,1
W. Brytanii,1
rue de Strasbourg,1
Joao Pacheco,1
Times,1
Instytutu Goethego,1
Morgan Stanley,1
Michael Bloomberg,1
Graeme Pitkethly,1
HSBC,1
Bronxu,1
Barnier,1
Kornwalia,1
Brexitowi,1
Emirates,1
Unia Europejska,1
Wollaston,1
Wysp,1
Marineła Petrowa,1
Holandii,1
Szkocji,1
Paul Everitt,1
Polskiej Izby Spedycji i Logistyki,1
Lang,1
Soho,1
Goerlitz,1
Joachim Lang,1
Zgorzelca,1
Europy Wschodniej,1
BBC Radio 4,1
Polsce,1
Bliskim Wschodzie,1
ministerstwa obrony,1
Kodersdorfu,1
Rolls-Royce,1
Parlament Europejski,1
NFZ,1
Warszawę,1
wyspy,1
Nowego Jorku,1
Odry,1
Davis,1
Tony Blair,1
Brytyjczykom,1
Bułgarii,1
Salisbury,1
Wyspy,1
UKIP,1
Guardian,1
Partii Niepodległości Wielkiej Brytanii,1
Discovery,1
Brytyjczyk,1
Luksemburg,1
Unią,1
Unilevera,1
Connexion,1
Rotterdam,1
Oliver Wyman,1
Drezno,1
Światową Organizację Handlu,1
Farage'a,1
PE,1
Buczek,1
mercedesami,1
ULT AG,1
Odrą,1
BMW,1
Bankię,1
Dover,1
Bank of America,1
Teesport,1
Partii Konserwatywnej,1
TVN,1
Brytyjska Partia Konserwatywna,1
Farm Europe,1
lexusami,1
Frankfurtu nad Menem,1
NHS,1
Siergiejowi Skripalowi,1
ZMPD,1
Scrippsa,1
EUobserver,1
Koncepcja Państw Ramowych,1
Afryce,1
Hiszpanie,1
Sunday Times,1
Deutsche Bank,1
Sarah Wollaston,1
Radę UE,1
Reuters,1
Rada UE,1
Davida Davisa,1
Clifford Chance,1
Luksemburgu,1
Wspólnotę,1
Katowic,1
Jan Buczek,1
Deutsche Welle,1
BBC,1
Loebau,1
Warszawą,1
Zjednoczonego Królestwa,1
Guardianie,1
Unilever,1
Isabelle Maitre,1
BuzzFeed,1
Kumar Iyer,1
Gers,1
Budziszyn,1
Lawsona,1
Europy,1
Dubajem,1
Paul Butters,1
Unię Europejską,1
Rzeczpospolitą,1
Henry Bolton,1
Litwinom,1
Polakom,1
