bg-939
Белфасткото споразумение	Белфастко споразумение	PRO	PRO-GFA-Good-Friday-Agreement
Брекзит	Брекзит	EVT	EVT-Brexit
България	България	LOC	GPE-Bulgaria
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕП	ЕП	ORG	ORG-European-Parliament
ЕС	ЕС	ORG	ORG-European-Union
Евродепутатите	евродепутати	PER	ORG-European-Parlament
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Момчил Неков	Момчил Неков	PER	PER-Momchil-Nekov
Обединено	Обединено	LOC	GPE-Great-Britain
Обединеното кралство	Обединено кралство	LOC	GPE-Great-Britain
С&Д	С&Д	ORG	ORG-SD-Progressive-Alliance-of-Socialists-and-Democrats
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Страсбург	Страсбург	LOC	GPE-Strasbourg
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
българи	българи	PER	GPE-Bulgaria
българите	българи	PER	GPE-Bulgaria
