bg-1125
The Guardian	The Guardian	PRO	PRO-The-Guardian
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Макрон	Макрон	PER	PER-Emmanuel-Macron
НАТО	НАТО	ORG	ORG-NATO
Париж	Париж	LOC	GPE-Paris
Рикетс	Рикетс	PER	PER-Peter-Ricketts
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Форин офис	Форин офис	ORG	ORG-Foreign-Office
Франция	Франция	LOC	GPE-France
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
