bg-1244
The Guardian	The Guardian	PRO	PRO-The-Guardian
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Тереза Герова	Тереза Герова	PER	PER-Theresa-Gerova
