bg-1654
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Гардиън	Гардиън	PRO	PRO-The-Guardian
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
Туск	Туск	PER	PER-Donald-Tusk
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
