bg-1806
Брекзит	Брекзит	EVT	EVT-Brexit
България	България	LOC	GPE-Bulgaria
Великобритания	Великобритания	LOC	GPE-Great-Britain
Групата на европейските консерватори и реформисти	Група на европейските консерватори и реформисти	ORG	ORG-AECR-Alliance-of-European-Conservatives-and-Reformists
Дондуков	Дондуков	LOC	LOC-Dondukov
ЕС	ЕС	ORG	ORG-European-Union
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Радев	Радев	PER	PER-Rumen-Radev
Румен Радев	Румен Радев	PER	PER-Rumen-Radev
Сайед Камал	Сайед Камал	PER	PER-Syed-Kamall
британци	британци	PER	GPE-Great-Britain
българите	българи	PER	GPE-Bulgaria
