bg-1717
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
ЕС	ЕС	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Европейският съвет	Европейски съвет	ORG	ORG-European-Council
Лондон	Лондон	LOC	GPE-London
Люксембург	Люксембург	LOC	GPE-Luxembourg
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Туск	Туск	PER	PER-Donald-Tusk
