bg-1002
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
ЕС-27	ЕС-27	ORG	ORG-European-Council-Article-50
ЕС	ЕС	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Екатерина Захариева	Екатерина Захариева	PER	PER-Ekaterina-Zakharieva
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
МВнР	МВнР	ORG	ORG-Ministry-of-Foreign-Affairs-Bulgaria
ОК	ОК	LOC	GPE-Great-Britain
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Съветът по член 50	Съвет по член 50	ORG	ORG-European-Council-Article-50
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
