bg-1074
Evening Standard	Evening Standard	PRO	PRO-Evening-Standard
Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Ги Верховстад	Ги Верховстад	PER	PER-Guy-Verhofstadt
Джонсън	Джонсън	PER	PER-Boris-Johnson
ЕС	ЕС	ORG	ORG-European-Union
Еврокомисия	Еврокомисия	ORG	ORG-European-Commission
Еврокомисията	Еврокомисия	ORG	ORG-European-Commission
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съд	Европейски съд	ORG	ORG-European-Court-of-Justice
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Люксембург	Люксембург	LOC	GPE-Luxembourg
Тереза Май	Тереза Мей	PER	PER-Theresa-May
Юлиян Марков	Юлиян Марков	PER	PER-Yuliyan-Markov
