bg-1722
Брекзит	Брекзит	EVT	EVT-Brexit
Бундестага	Бундестаг	ORG	ORG-Bundestag
Великобритания	Великобритания	LOC	GPE-Great-Britain
Волфганг Шойбле	Волфганг Шойбле	PER	PER-Wolfgang-Schauble
ЕС	ЕС	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Москва	Москва	LOC	GPE-Moscow
Политико	Политико	ORG	ORG-Politico
Сергей Скрипал	Сергей Скрипал	PER	PER-Siergiej-Skripal
Скрипал	Скрипал	PER	PER-Siergiej-Skripal
Солсбъри	Солсбъри	LOC	GPE-Salisbury
Шойбле	Шойбле	PER	PER-Wolfgang-Schauble
британците	британци	PER	GPE-Great-Britain
