bg-1518
The Times	The Times	PRO	PRO-The-Times
Берлин	Берлин	LOC	GPE-Berlin
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейски съюз	Европейски съюз	ORG	ORG-European-Union
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
