bg-1508
The Telegraph	The Telegraph	PRO	PRO-The-Daily-Telegraph
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Труск	Доналд Туск	PER	PER-Donald-Tusk
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
ЕС	ЕС	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Туск	Туск	PER	PER-Donald-Tusk
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
