bg-1812
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Гардиън	Гардиън	PRO	PRO-The-Guardian
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
Ирландия	Ирландия	LOC	GPE-Ireland
Лео Варадкар	Лео Варадкар	PER	PER-Leo-Varadkar
Лондон	Лондон	LOC	GPE-London
Марк Рюте	Марк Рюте	PER	PER-Mark-Rutte
Мей	Мей	PER	PER-Theresa-May
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Юнкер	Юнкер	PER	PER-Jean-Claude-Juncker
