bg-1158
The Guardian	The Guardian	PRO	PRO-The-Guardian
Барние	Барние	PER	PER-Michel-Barnier
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Партията на независимостта	Партия на независимостта	ORG	ORG-UK-Independence-Party
Фараж	Фараж	PER	PER-Nigel-Farage
британци	британци	PER	GPE-Great-Britain
