bg-1152
The Independent	The Independent	PRO	PRO-The-Independent
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския съд	Европейски съд	ORG	ORG-European-Court-of-Justice
Иван Христов	Иван Христов	PER	PER-Ivan-Hristov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Торите	тори	PER	ORG-Conservative-and-Unionist-Party-UK
