bg-1675
Атланта	Атланта	PRO	PRO-Atlanta
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Германия	Германия	LOC	GPE-Germany
Гърция	Гърция	LOC	GPE-Greece
Джордж Нортън	Джордж Нортън	PER	PER-George-Norton
ЕС	ЕС	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Естония	Естония	LOC	GPE-Estonia
Италия	Италия	LOC	GPE-Italy
Лондон	Лондон	LOC	GPE-London
Нортууд	Нортууд	LOC	GPE-Northwood
Нортън	Нортън	PER	PER-George-Norton
Обединеното кралство	Обединено кралство	LOC	GPE-Great-Britain
Политико	Политико	ORG	ORG-Politico
Русия	Русия	LOC	GPE-Russia
Сомалия	Сомалия	LOC	GPE-Somalia
София	София	EVT	EVT-Sofia
Средиземноморието	Средиземноморие	LOC	LOC-Mediterranean-Basin
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Франция	Франция	LOC	GPE-France
Хертфордшир	Хартфордшир	LOC	GPE-Hertfordshire
