bg-35
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джон Макдонъл	Джон Макдонъл	PER	PER-John-McDonnell
ЕС	ЕС	ORG	ORG-European-Union
Индипендънт	Индипендънт	PRO	PRO-The-Independent
Ирландия	Ирландия	LOC	GPE-Ireland
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Саймън Ковъни	Саймън Ковъни	PER	PER-Simon-Coveney
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Флоренция	Флоренция	LOC	GPE-Florence
британците	британци	PER	GPE-Great-Britain
