bg-1172
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виетнам	Виетнам	LOC	GPE-Vietnam
Германия	Германия	LOC	GPE-Germany
Делхи	Делхи	LOC	GPE-Delhi
ЕС	ЕС	ORG	ORG-European-Union
Индия	Индия	LOC	GPE-India
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Камерун	Камерун	LOC	GPE-Cameroon
Ли Къцян	Ли Къцян	PER	PER-Li-Keqiang
Мун Джей-ин	Мун Джей-ин	PER	PER-Paul-Biya
Пекин	Пекин	LOC	GPE-Beijing
Пол Бия	Пол Бия	PER	PER-Paul-Biya
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Франк-Валтер Щайнмайер	Франк-Валтер Щайнмайер	PER	PER-Frank-Walter-Steinmeier
Ханой	Ханой	LOC	GPE-Hanoi
Южна Корея	Южна Корея	LOC	GPE-South-Korea
