bg-1147
The Guardian	The Guardian	PRO	PRO-The-Guardian
Алеш Шмелар	Алеш Шмелар	PER	PER-Ales-Chmelar
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstadt
ЕНП	ЕНП	ORG	ORG-EPP
ЕП	ЕП	ORG	ORG-European-Parliament
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европейската агенция за сигурността на полетите	Европейска агенция за сигурността на полетите	ORG	ORG-EASA-European-Aviation-Safety-Agency
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Канада	Канада	LOC	GPE-Canada
Манфред Вебер	Манфред Вебер	PER	PER-Manfred-Weber
Мей	Мей	PER	PER-Theresa-May
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Норвегия	Норвегия	LOC	GPE-Norway
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Чешката република	Чешка република	LOC	GPE-Czech-Republic
