uk-248
Boeing-737-800	Boeing-737-800	PRO	PRO-Boeing-737
Ryanair	Ryanair	ORG	ORG-Ryanair
Sky News	Sky News	ORG	ORG-Sky-News
Європи	Європа	LOC	GPE-Europe
Європі	Європа	LOC	GPE-Europe
Інтерфакс-Україна	Інтерфакс-Україна	ORG	ORG-Interfax-Ukraine
Ірландії	Ірландія	LOC	GPE-Ireland
Іспанію	Іспанія	LOC	GPE-Spain
Італію	Італія	LOC	GPE-Italy
Бельгію	Бельгія	LOC	GPE-Belgium
Великій Британії	Велика Британія	LOC	GPE-Great-Britain
Нідерланди	Нідерланди	LOC	GPE-Holland
Німеччину	Німеччина	LOC	GPE-Germany
Німеччині	Німеччина	LOC	GPE-Germany
Португалію	Португалія	LOC	GPE-Portugal
Португалії	Португалія	LOC	GPE-Portugal
