pl-1197
Brexitu	Brexit	EVT	EVT-Brexit
Davida Davisa	David Davis	PER	PER-David-Davis
Dover	Dover	LOC	GPE-Dover
Kornwalia	Kornwalia	LOC	GPE-Cornwall
Sunday Times	Sunday Times	PRO	PRO-The-Sunday-Times
Sunday Timesa	Sunday Times	PRO	PRO-The-Sunday-Times
Szkocji	Szkocja	LOC	GPE-Scotland
Theresę May	Theresa May	PER	PER-Theresa-May
Times	Times	PRO	PRO-The-Sunday-Times
Timesa	Times	PRO	PRO-The-Sunday-Times
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
WTO	WTO	ORG	ORG-WTO-World-Trade-Organization
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnoty	Wspólnota	ORG	ORG-European-Union
Wspólnotę	Wspólnota	ORG	ORG-European-Union
ministerstwa ds. Brexitu	Ministerstwo ds. Brexitu	ORG	ORG-Ministry-of-Brexity
Światową Organizację Handlu	Światowa Organizacja Handlu	ORG	ORG-WTO-World-Trade-Organization
