bg-21
АйТиВи	АйТиВи	PRO	PRO-ITV-Network
Анна Соубри	Анна Соубри	PER	PER-Anna-Soubry
Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
Брекзит	Брекзит	EVT	EVT-Brexit
Джонсън	Джонсън	PER	PER-Boris-Johnson
Зелената партия	Зелена партия	ORG	ORG-Green-Party-of-England-and-Wales
Каралайн Лукас	Каралайн Лукас	PER	PER-Caroline-Lucas
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-Party-UK
Робърт Пестън	Робърт Пестън	PER	PER-Robert-Peston
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
