bg-7
Игра на тронове	Игра на тронове	PRO	PRO-Game-of-Thrones
Антонио Таяни	Антонио Таяни	PER	PER-Antonio-Tajani
Балканите	Балкани	LOC	LOC-Balkans
Бойко Борисов	Бойко Борисов	PER	PER-Boyko-Borisov
Борисов	Борисов	PER	PER-Boyko-Borisov
Брекзит	Брекзит	EVT	EVT-Brexit
българите	българи	PER	GPE-Bulgaria
България	България	LOC	GPE-Bulgaria
Българското председателство	Българско председателство	EVT	EVT-Bulgarian-Presidency-EU
Българското председателство на Съвета на Европейския съюз	Българско председателство на Съвета на Европейския съюз	EVT	EVT-Bulgarian-Presidency-EU
Вазов	Вазов	PER	PER-Ivan-Vazov
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
еврозоната	Еврозона	ORG	ORG-Eurozone
Европа	Европа	LOC	LOC-Europe
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
ЕК	ЕК	ORG	ORG-European-Commission
ЕС	ЕС	ORG	ORG-European-Union
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
Западните Балкани	Западни Балкани	LOC	LOC-Western-Balkans
Захари Бахаров	Захари Бахаров	PER	PER-Zahari-Baharov
Народния театър „Иван Вазов“ в София	Народен театър „Иван Вазов“ в София	LOC	LOC-Ivan-Vazov-Theatre-Sofia
поляк	поляк	PER	GPE-Poland
Спартак	Спартак	PER	PER-Spartacus
Съвета на Европейския съюз	Съвет на Европейския съюз	ORG	ORG-Council-of-the-European-Union
Съвета на ЕС	Съвет на ЕС	ORG	ORG-Council-of-the-European-Union
Туск	Туск	PER	PER-Donald-Tusk
Шенген	Шенген	LOC	LOC-Schengen
Юнкер	Юнкер	PER	PER-Jean-Claude-Juncker
