pl-1855
Brexitowi	Brexit	EVT	EVT-Brexit
Brukseli	Bruksela	LOC	GPE-Brussles
Dalia Grybauskaitė	Dalia Grybauskaitė	PER	PER-Dalia-Grybauskaitė
Grybauskaitė	Grybauskaitė	PER	PER-Dalia-Grybauskaitė
Polakami	Polacy	PER	GPE-Poland
Polonią	Polonia	ORG	ORG-Polinia
Senatu Rzeczypospolitej Polskiej	Senat Rzeczypospolitej Polskiej	ORG	ORG-Senate-of-the-Republic-of-Poland
UE	UE	ORG	ORG-European-Union
Unia	Unia	ORG	ORG-European-Union
Unię Europejską	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkie Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
