pl-1773
Brexitu	Brexit	EVT	EVT-Brexit
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Europosłowie	Europosłowie	PER	ORG-European-Parlament
Guya Verhofstadta	Guy Verhofstadt	PER	PER-Guy-Verhofstadt
Jean-Claude'a Junckera	Jean-Claude Juncker	PER	PER-Jean-Claude-Juncker
KE	KE	ORG	ORG-European-Commission
Komisji Europejskiej	Komisja Europejska	ORG	ORG-European-Commission
PE	PE	ORG	ORG-European-Parliament
Polaków	Polacy	PER	GPE-Poland
Theresy May	Theresa May	PER	PER-Theresa-May
Timesa	Times	PRO	PRO-The-Sunday-Times
Timesa	Times	PRO	PRO-The-Times
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
W. Brytanii	W. Brytania	LOC	GPE-Great-Britain
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
brytyjskim parlamencie	Brytyjski Parlament	ORG	ORG-British-Parlament
