pl-490
Brexitu	Brexit	EVT	EVT-Brexit
Brukseli	Bruksela	LOC	GPE-Brussles
Danuta Hübner	Danuta Hübner	PER	PER-Danuta-Hübner
Dzienniku Urzędowym UE	Dziennik Urzędowy UE	PRO	PRO-Official-Journal-of-the-European-Union
EPL	EPL	ORG	ORG-EPP-European-Peoples-Party
Francuzi	Francuzi	PER	GPE-France
Hiszpanie	Hiszpanie	PER	GPE-Spain
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
PE	PE	ORG	ORG-European-Parliament
PO	PO	ORG	ORG-PO-Civic-Platform
Parlamencie Europejskim	Parlament Europejski	ORG	ORG-European-Parliament
Parlament Europejski	Parlament Europejski	ORG	ORG-European-Parliament
Parlamentu Europejskiego	Parlament Europejski	ORG	ORG-European-Parliament
Parlamentu	Parlament	ORG	ORG-European-Parliament
Pedro Silva Pereira	Pedro Silva Pereira	PER	PER-Pedro-Silva-Pereira
Polaków	Polacy	PER	GPE-Poland
Polska	Polska	LOC	GPE-Poland
Socjaliści i Demokraci	Socjaliści i Demokraci	ORG	ORG-SD-Progressive-Alliance-of-Socialists-and-Democrats
Strasburga	Strasburg	LOC	GPE-Strasbourg
Traktatu o funkcjonowaniu UE	Traktat o funkcjonowaniu UE	PRO	PRO-TFUE-Treaty-on-the-Functioning-of-the-European-Union
UE	UE	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
traktatem lizbońskim	Traktat lizboński	PRO	PRO-Treaty-of-Lisbon
Łukasz Osiński	Łukasz Osiński	PER	PER-Łukasz-Osiński
