pl-1123
Erasmus	Erasmus	PRO	PRO-Erasmus
Europa	Europa	LOC	LOC-Europe
Europie	Europa	LOC	LOC-Europe
Europy	Europa	LOC	LOC-Europe
Jyrki Katainen	Jyrki Katainen	PER	PER-Jyrki-Katainen
KE	KE	ORG	ORG-European-Commission
Komisję Europejską	Komisja Europejska	ORG	ORG-European-Commission
Kwiecińskim	Kwieciński	PER	PER-Jerzy-Kwieciński
Polakom	Polacy	PER	GPE-Poland
Polsce	Polska	LOC	GPE-Poland
Polska	Polska	LOC	GPE-Poland
Słowacji	Słowacja	LOC	GPE-Slovakia
Trump	Trump	PER	PER-Donald-Trump
USA	USA	LOC	GPE-USA
Unia	Unia	ORG	ORG-European-Union
brexit	Brexit	EVT	EVT-Brexit
brexitu	Brexit	EVT	EVT-Brexit
