pl-1652
Brexit	Brexit	EVT	EVT-Brexit
Brytoli	Brytole	PER	GPE-Great-Britain
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
Facebooku	Facebook	PRO	PRO-Facebook
Janusz Korwin-Mikke	Janusz Korwin-Mikke	PER	PER-Janusz-Korwin-Mikke
Korwin-Mikke	Korwin-Mikke	PER	PER-Janusz-Korwin-Mikke
Polacy	Polacy	PER	GPE-Poland
Polaków	Polacy	PER	GPE-Poland
Polish Express	Polish Express	PRO	PRO-Polish-Express
Polski	Polska	LOC	GPE-Poland
Schengen	Schengen	LOC	LOC-Schengen-Area
Turcję	Turcja	LOC	GPE-Turkey
UE	UE	ORG	ORG-European-Union
Unii	Unia	ORG	ORG-European-Union
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wolność	Wolność	ORG	ORG-PVV-Party-for-Freedom
Wysp	Wyspy	LOC	GPE-Great-Britain
Węgier	Węgry	LOC	GPE-Hungary
Zjednoczone Królestwo	Zjednoczone Królestwo	LOC	GPE-Great-Britain
