ru-1034
Brexit	Brexit	EVT	86-22
БРЮССЕЛЬ	БРЮССЕЛЬ	LOC	63-186
КАЗИНФОРМ	казинформый	ORG	96-93
Великобритании	Великобритания	LOC	68-14
Доминик Рааб	Доминик Рааб	PER	103-27
МИА Казинформ	МИА Казинформ	ORG	89-79
Доминика Рааба	Доминика Рааба	PER	103-28
ЕС	ЕС	ORG	82-335
Twitter	Twitter	PRO	76-13
Рааб	Рааб	PER	87-17
Дэвида Дэвиса	Дэвид Дэвис	PER	103-3
Лондон	Лондон	LOC	110-133
Брюсселю	Брюссель	LOC	63-77
министерстве по делам регионов и местного самоуправления	министерство по дело регион и местный самоуправление	ORG	89-13
Д. Рааб	Д. Рааб	PER	103-30
Великобритания	Великобритания	LOC	68-16
