ru-1084
Brexit	Brexit	EVT	86-22
Великобритании	Великобритания	LOC	68-14
ЕС	ЕС	ORG	82-110
Туск	Туск	PER	55-3
Дэвида Дэвиса	Дэвид Дэвис	PER	103-3
Соединенного Королевства	соединить Королевство	LOC	101-0
Европейского совета	Европейский совет	ORG	82-48
Дональд Туск	Дональд Туск	PER	103-12
Д. Туск	Д. Туск	PER	103-15
Брюсселе	Брюссель	LOC	63-79
Европейского союза	Европейский союз	ORG	82-41
Дэвисом	Дэвис	PER	103-65
Евросовета	Евросовет	ORG	82-49
Twitter	Twitter	PRO	76-13
Бориса Джонсона	Борис Джонсон	PER	63-7
внешнеполитического ведомства	внешнеполитический ведомство	ORG	68-34
Джонсоном	Джонсон	PER	103-66
правительство Великобритании	правительство Великобритания	ORG	67-27
Д. Дэвис	Д. Дэвис	PER	103-5
МИД	МИД	ORG	89-34
Б. Джонсон	Б. Джонсон	PER	63-10
Доминик Рааб	Доминик Рааб	PER	103-27
Б. Джонсона	Б. Джонсон	PER	63-10
