ru-1026
Brexit	Brexit	EVT	86-22
Дэвиса	Дэвис	PER	103-64
Дэвид Дэвис	Дэвид Дэвис	PER	103-3
Британии	Британия	LOC	63-74
ЕС	ЕС	ORG	82-169
Терезой Мэй	Тереза Мэй	PER	55-24
британского правительства	британский правительство	ORG	63-18
Дэвис	Дэвис	PER	103-63
Financial Times	Financial Times	PRO	106-1
Мэй	Мэй	PER	89-33
FT	FT	PRO	106-22
Дэвису	Дэвис	PER	103-106
Британию	Британия	LOC	63-82
Брюссель	Брюссель	LOC	63-78
таможенный союз	таможенный союз	ORG	55-14
британском правительстве	британский правительство	ORG	63-18
Бориса Джонсона	Борис Джонсон	PER	63-7
Джонсон	Джонсон	PER	103-61
Bloomberg	Bloomberg	ORG	86-75
BBC	БИ-БИ-СИ	ORG	86-138
тори	торя	PER	55-5
