ru-1234
Brexit	Brexit	EVT	86-22
Мэй	Мэй	PER	89-33
Дэвис	Дэвис	PER	103-63
Лондона	Лондон	LOC	110-77
Брюсселем	Брюссель	LOC	63-80
МИД	МИД	ORG	89-34
Борис Джонсон	Борис Джонсон	PER	63-7
Лиам Фокс	Лиам Фокс	PER	110-15
ТАСС	ТАСС	ORG	55-8
ЕС	ЕС	ORG	82-188
Великобритании	Великобритания	LOC	68-14
Республикой Ирландия	Республика Ирландия	LOC	87-10
Минфина	Минфин	ORG	89-84
Филипом Хаммондом	Филип Хаммонд	PER	62-22
Соединенному Королевству	соединить Королевство	LOC	101-0
Таможенному союзу ЕС	таможенный союз ЕС	ORG	55-26
лондонского Сити	лондонский Сити	LOC	110-11
тори	торя	PER	55-5
Консервативной партии	консервативный партия	ORG	96-35
Bloomberg	Bloomberg	ORG	86-75
The Independent	The Independent	PRO	76-5
Дэвиса	Дэвис	PER	103-64
Майкл Фэллон	Майкл Фэллон	PER	89-131
Прити Пател	Прить Пател	PER	67-49
Северной Ирландии	Северный Ирландия	LOC	101-5
Джеймс Брокеншир	Джеймс Брокеншир	PER	103-95
МВД	МВД	ORG	89-38
Эмбер Радд.	Эмбер Радд.	PER	50-3
