sl-52
Alexander Dobrindt	Alexander Dobrindt	PER	PER-Alexander-Dobrindt
Barcelone	Barcelona	LOC	GPE-Barcelona
Bild	Bild	ORG	ORG-Bild
Bruslja	Bruselj	LOC	GPE-Brussles
CDU	CDU	ORG	ORG-Christlich-Demokratische-Union
EU	EU	ORG	ORG-European-Union
German Aviation Association	German Aviation Association	ORG	ORG-BDL-German-Aviation-Association
London	London	LOC	GPE-London
Madrid	Madrid	LOC	GPE-Madrid
Milano	Milano	LOC	GPE-Milan
Nemčija	Nemčija	LOC	GPE-Germany
Nemčiji	Nemčija	LOC	GPE-Germany
REUTERS	REUTERS	ORG	ORG-Reuters
Rima	Rim	LOC	GPE-Rome
Ryanair	Ryanair	ORG	ORG-Ryanair
krščanskih demokratov	Krščanski demokrati	ORG	ORG-Christlich-Demokratische-Union
nemškega letalskega združenja	nemško letalsko združenje	ORG	ORG-BDL-German-Aviation-Association
