ru-163
Bild am Sonntag	Bild am Sonntag	PRO	PRO-Bild-am-Sonntag
Асии Биби	Асия Биби	PER	PER-Asia-Bibi
Асию Биби	Асия Биби	PER	PER-Asia-Bibi
Асия Биби	Асия Биби	PER	PER-Asia-Bibi
Биби	Биби	PER	PER-Asia-Bibi
Великобритании	Великобритания	LOC	GPE-Great-Britain
Верховный суд Пакистана	Верховный суд Пакистана	ORG	ORG-Supreme-Court-of-Pakistan
Верховный суд	Верховный суд	ORG	ORG-Supreme-Court-of-Pakistan
Верховным судом	Верховный суд	ORG	ORG-Supreme-Court-of-Pakistan
Германии	Германия	LOC	GPE-Germany
Германию	Германия	LOC	GPE-Germany
Канаде	Канада	LOC	GPE-Canada
МИД ФРГ	МИД ФРГ	ORG	ORG-Federal-Foreign-Office-Germany
Мухаммеда	Мухаммед	PER	PER-Prophet-Muhammad
Пакистан	Пакистан	LOC	GPE-Pakistan
Пакистане	Пакистан	LOC	GPE-Pakistan
США	США	LOC	GPE-USA
Саиф уль-Малук	Саиф уль-Малук	PER	PER-Saif-Ul-Malook
ФРГ	ФРГ	LOC	GPE-Germany
