ru-193
Die Welt	Die Welt	PRO	PRO-Die-Welt
Missio	Missio	ORG	ORG-Missio-Catholic-Organisation
Асии Биби	Асия Биби	PER	PER-Asia-Bibi
Асию Биби	Асия Биби	PER	PER-Asia-Bibi
Асия Биби	Асия Биби	PER	PER-Asia-Bibi
Биби	Биби	PER	PER-Asia-Bibi
Высший суд Лахора	Высший суд Лахора	ORG	ORG-Lahore-High-Court
Германии	Германия	LOC	GPE-Germany
Германию	Германия	LOC	GPE-Germany
Германия	Германия	LOC	GPE-Germany
Евангелической службы печати	Евангелическая служба печати	ORG	ORG-Evangelical-Press-Service
МИД	МИД	ORG	ORG-Federal-Foreign-Office-Germany
Мухаммеда	Мухаммед	PER	PER-Prophet-Muhammad
Пакистана	Пакистан	LOC	GPE-Pakistan
Пакистане	Пакистан	LOC	GPE-Pakistan
Пакистане	Пакистане	LOC	GPE-Pakistan
Пенджаб	Пенджаб	LOC	GPE-Punjab
Сайфул Малук	Сайфул Малук	PER	PER-Saif-Ul-Malook
ТАСС	ТАСС	ORG	ORG-TASS-Agency
Техрик-э-Лабаик	Техрик-э-Лабаик	ORG	ORG-Tehreek-e-Labbaik-Pakistan
Франкфурте-на-Майне	Франкфурт-на-Майне	LOC	GPE-Frankfurt-am-Main
