ru-161
Dunya News	Dunya News	PRO	PRO-Dunya-News
REGNUM	REGNUM	ORG	ORG-REGNUM-News-Agency
Асии Биби	Асия Биби	PER	PER-Asia-Bibi
Биби	Биби	PER	PER-Asia-Bibi
Верховного Суда	Верховный Суд	ORG	ORG-Supreme-Court-of-Pakistan
Верховного суда	Верховный суд	ORG	ORG-Supreme-Court-of-Pakistan
Верховный Суд	Верховный Суд	ORG	ORG-Supreme-Court-of-Pakistan
Имран Хан	Имран Хан	PER	PER-Imran-Khan
Лахоре	Лахор	LOC	GPE-Lahore
Пакистан	Пакистан	LOC	GPE-Pakistan
Пакистана	Пакистан	LOC	GPE-Pakistan
Панджаб	Панджаб	LOC	GPE-Punjab
